claim_id,episode,kind,publisher,state,date,search_term,page_url,quote
1,1910 Recession,crisis,"the nashville globe (nashville, tenn.) 1906-193?",tennessee,1910-06-17,business depression,http://www.loc.gov/resource/sn86064259/1910-06-17/ed-1/?sp=3,"The self-respecting and thrif ty Negroes get a willing and helping hand from the whites, but the tough element is required to \""move on.\"" The general business depression throughout the country is showing its effect here as elsewhere, for the wheels of most of the Industrial plants are idle and will remain so un til the business depression is lifted."
2,1910 Recession,crisis,"the laramie republican (laramie, wyo.) 18??-1923",wyoming,1910-08-08,business depression,http://www.loc.gov/resource/sn92066979/1910-08-08/ed-1/?sp=1,"Next year the regatta will be held in French waters, and in 1912 Germany will be in charge of the event."
3,1910 Recession,crisis,"the laramie republican (laramie, wyo.) 18??-1923",wyoming,1910-08-08,business depression,http://www.loc.gov/resource/sn92066979/1910-08-08/ed-1/?sp=1,will blldtFroad TO STEAMBOAT SPRINGS NEW YORK MAN RETURNS TO THAT CITY FROM THIS AND MAKES ANNOUNCEMENT.
4,1910 Recession,crisis,"the laramie republican (laramie, wyo.) 18??-1923",wyoming,1910-08-08,business depression,http://www.loc.gov/resource/sn92066979/1910-08-08/ed-1/?sp=1,"\u2014Laurence Bar num, who has just returned from a trip with a party of Boston and Chi cago bankers over the Laramie, Hahns Peak and Pacific railway, the road which is being built southwest from Laramie, on the Union Pacific into the coal fields of northwest Colorado, says that the railroad is opening up a vast territory that has a large tonnage of not only coal, but cattle and all kinds of agricultural products which will be moved over Its lines."
5,1910 Recession,crisis,"the laramie republican (laramie, wyo.) 18??-1923",wyoming,1910-08-08,business depression,http://www.loc.gov/resource/sn92066979/1910-08-08/ed-1/?sp=1,"\u201cI believe that when this road gets into Steamboat Springs it will get practically the entire freight from that district, which comprises 200,000 acres of rich agricultural valley land."
6,1910 Recession,crisis,"the laramie republican (laramie, wyo.) 18??-1923",wyoming,1910-08-08,business depression,http://www.loc.gov/resource/sn92066979/1910-08-08/ed-1/?sp=1,"The Laramie road will have an average grade of less than 1 per cent and a maximum grade of only 2 per cent, which is in favor of the way of great est tonnage."
7,1910 Recession,crisis,"the laramie republican (laramie, wyo.) 18??-1923",wyoming,1910-08-08,business depression,http://www.loc.gov/resource/sn92066979/1910-08-08/ed-1/?sp=1,"1 \""A tweney-five-year traffic agree ment has been signed with the Union Pacific and It is not expected that any other traffic agreements will be made.\u201d No Business Depression."
8,1910 Recession,crisis,"university missourian (columbia, mo.) 1908-1916",missouri,1910-06-17,business depression,http://www.loc.gov/resource/sn89066313/1910-06-17/ed-1/?sp=4,"He does not feel hall as sure of a retention of em ployment as he did before, and he 'knows that the expected advance in wages is rot to be forthcoming."
9,1910 Recession,crisis,"goodwin's weekly : a thinking paper for thinking people (salt lake city, utah) 1902-1929",utah,1910-11-05,business depression,http://www.loc.gov/resource/2010218519/1910-11-05/ed-1/?sp=4,"The case presents some inter esting possibilities, and the denouement will be closely watched by those who are even more fa miliar with the circumstances than are set forth above."
10,1910 Recession,crisis,"goodwin's weekly : a thinking paper for thinking people (salt lake city, utah) 1902-1929",utah,1910-11-05,business depression,http://www.loc.gov/resource/2010218519/1910-11-05/ed-1/?sp=4,It has been expected that the election of Dix in New York m Tuesday next will change the situation mightily and from the recent remarks made by the president of the National Copper Bank re garding conditions generally it is apparent that the tide is about to turn.
