claim_id,episode,kind,publisher,state,date,search_term,page_url,quote
1,1913 Recession,crisis,"the ocala evening star (ocala, fla.) 1895-1943",florida,1914-01-30,business depression,http://www.loc.gov/resource/sn84027621/1914-01-30/ed-1/?sp=5,"Most of the commit teemen, talking privately, conceded their willingness to take Roosevelt regardless of the fact that it won't be the committee that will do the taking, should taking come about but Roosevelt."
2,1913 Recession,crisis,"daily capital journal (salem, oregon) 1903-1919",oregon,1914-02-25,business depression,http://www.loc.gov/resource/sn99063957/1914-02-25/ed-1/?sp=2,Here in Oregon the outlook is splendid for a great year of ma terial progress.
3,1913 Recession,crisis,"the gazette (cleveland, ohio) 1892-194?",ohio,1913-12-20,business depression,http://www.loc.gov/resource/sn83035387/1913-12-20/ed-1/?sp=1,"Representative Harrison of Missis sippi has prepared a bill, which he will introduce in the house at Wash ington, to declare illegal options and futures on cotton, hops,' wheat, corn, oats, rye, barley, wheat flour, pork, lard, bacon or other agricultural or food products."
4,1913 Recession,crisis,"the gazette (cleveland, ohio) 1892-194?",ohio,1913-12-20,business depression,http://www.loc.gov/resource/sn83035387/1913-12-20/ed-1/?sp=1,"At the White House in Washington when asked what he thought of the general business outlook, Mr."
5,1913 Recession,crisis,"the pensacola journal (pensacola, fla.) 1898-1985",florida,1914-01-05,business depression,http://www.loc.gov/resource/sn87062268/1914-01-05/ed-1/?sp=4,"Just passed, will do much toward settling .conditions that have been somewhat turoulent."
6,1913 Recession,crisis,"the pensacola journal (pensacola, fla.) 1898-1985",florida,1914-01-05,business depression,http://www.loc.gov/resource/sn87062268/1914-01-05/ed-1/?sp=4,"This Is a sign of temporary business depression in which the\""public will take great satisfaction."
7,1913 Recession,crisis,"the day book (chicago, ill.) 1911-1917",illinois,1913-12-23,business depression,http://www.loc.gov/resource/sn83045487/1913-12-23/ed-2/?sp=4,"But the country knows that the president will appoint only high-class mer \""The ultimate effect of the new system will be good."
8,1913 Recession,crisis,"the day book (chicago, ill.) 1911-1917",illinois,1913-12-23,business depression,http://www.loc.gov/resource/sn83045487/1913-12-23/ed-2/?sp=4,"Banks will not have to be quite so conservative; there will be a moderate expansion of credit, and within a short time business houses whose stocks are now nearly deplet ed, will become active\"" buyers.\"" Hulbert charged that much of the opposition to the new currency law that was partially responsible for business depression was insincere and fostered by New York financial powers that felt that their control of the money market .was in danger."
9,1913 Recession,crisis,"the birmingham age-herald (birmingham, ala.) 1902-1950",alabama,1913-12-30,business depression,http://www.loc.gov/resource/sn85038485/1913-12-30/ed-1/?sp=3,A year ago many were the predictions of serious business reverses.
10,1913 Recession,crisis,"the nome daily nugget (nome, alaska) 1906-1918",alaska,1914-03-25,business depression,http://www.loc.gov/resource/sn87062011/1914-03-25/ed-1/?sp=2,"It Is almost Inconceivable now, but we may bo sure that If the governments of thoso countries do not realise the advantage of being repre sented, their great Industrial firms will."
11,1913 Recession,crisis,"the nome daily nugget (nome, alaska) 1906-1918",alaska,1914-03-25,business depression,http://www.loc.gov/resource/sn87062011/1914-03-25/ed-1/?sp=2,"Is vicarious, because posterity shall be an extent be tlic beneficiary."
12,1913 Recession,crisis,"iron county news (hurley, wis.) 1913-1950",wisconsin,1913-12-20,business depression,http://www.loc.gov/resource/sn85040652/1913-12-20/ed-1/?sp=2,"At the White House in Washington when asked what he thought of the general business outlook, Mr."
13,1913 Recession,crisis,"the logan republican (logan, utah) 1902-1924",utah,1914-01-24,business depression,http://www.loc.gov/resource/sn85058246/1914-01-24/ed-1/?sp=3,This tlmo I do not iroposo to go to tho Pacific coast; I expect to read a story of disaster and business depression hero in tho East.
14,1913 Recession,crisis,"the logan republican (logan, utah) 1902-1924",utah,1914-01-24,business depression,http://www.loc.gov/resource/sn85058246/1914-01-24/ed-1/?sp=3,"Tho filets, when known, will stagger tho American people On tho 4th day of March last, when tho Democratic party came Into pow er, tho steel and Iron business of tho country was almost at thu very height of Its prosperity."
15,1913 Recession,crisis,"idaho county free press (grangeville, idaho territory) 1886-current",idaho,1914-02-26,business depression,http://www.loc.gov/resource/sn86091100/1914-02-26/ed-1/?sp=6,The Oregon Short Line will soon begin extensive improve ments involving the outlay of a large sum.
16,1913 Recession,crisis,"the oskaloosa herald (oskaloosa, mahaska county, iowa) 1885-1919",iowa,1913-12-18,business depression,http://www.loc.gov/resource/sn87058308/1913-12-18/ed-1/?sp=4,We hope things will not get muddled so as to defeat the demo cratic ticket.
17,1913 Recession,crisis,"the oskaloosa herald (oskaloosa, mahaska county, iowa) 1885-1919",iowa,1913-12-18,business depression,http://www.loc.gov/resource/sn87058308/1913-12-18/ed-1/?sp=4,"Bill Hamilton is a mighty capable democrat, a good speaker and a good politician and we may look for warm times in the old Sixth.\u201d THE BUSINESS OUTLOOK."
18,1913 Recession,crisis,"atlanta georgian (atlanta, ga.) 1912-1939",georgia,1913-11-11,business depression,http://www.loc.gov/resource/sn89053729/1913-11-11/ed-2/?sp=2,"be rushed into a measure which is undemocratic in principle and which will not inure to the benefit of the people, as we were rushed into a measure of tariff reduction which opened our markets to the products of foreign countries without opening foreign markets to the products of our country."
19,1913 Recession,crisis,"atlanta georgian (atlanta, ga.) 1912-1939",georgia,1913-11-11,business depression,http://www.loc.gov/resource/sn89053729/1913-11-11/ed-3/?sp=2,"The country should not be rushed into a measure which is undemocratic in principle and which will not inure to the benefit of the people, as we were rushed into a measure of tariff reduction which opened our markets to the products of foreign countries without opening foreign markets to the products of our country."
20,1913 Recession,crisis,"daily independent (elko, nev.) 188?-1915",nevada,1913-12-30,business depression,http://www.loc.gov/resource/sn84020355/1913-12-30/ed-1/?sp=2,"Some of our suffering, indeed is vicarious, because posterity shall to an extent be beneficiary."
21,1913 Recession,crisis,"the forest republican (tionesta, pa.) 1869-1952",pennsylvania,1913-12-24,business depression,http://www.loc.gov/resource/sn84026497/1913-12-24/ed-1/?sp=2,The acid test of Democratic princlplea must be made when politics are in season and not when charity and good will are in com mand ot the world's affairs.
22,1913 Recession,crisis,"the forest republican (tionesta, pa.) 1869-1952",pennsylvania,1913-12-24,business depression,http://www.loc.gov/resource/sn84026497/1913-12-24/ed-1/?sp=2,"During the long years ol Republican supremacy in national atlairs Deuiocratio politicians who tried to make capital out of business depression, financial strin gency, alrikesor bank failures, were hab itually referred to as \""calamity bowl era,\"" Ibe Democrats were constantly reminded or the iniquity of basiug hopes of parly Biiccesaon public misfortune, praying to tbe god of mischief and eudeavoring to bring on poverty and misery by predict ing it."
23,1913 Recession,crisis,omaha daily bee (omaha [neb.]) 187?-1922,nebraska,1914-03-25,business depression,http://www.loc.gov/resource/sn99021999/1914-03-25/ed-1/?sp=6,It is notorious that many of the movies are In buildings constructed with no expectation of such use and that mighty few of them aro housed in buildings that would pass all the tests that ought to be required.
24,1913 Recession,crisis,"seward daily gateway (seward, alaska) 1905-1914",alaska,1914-02-21,business depression,http://www.loc.gov/resource/2017218598/1914-02-21/ed-1/?sp=4,We believe that the passage of the Alaska Railroad bill means that Seward will be the metropolis of Alaska.
25,1913 Recession,crisis,"the kadoka press and kadoka reporter (kadoka, s.d.) 1910-1923",south dakota,1913-12-19,business depression,http://www.loc.gov/resource/sn96090237/1913-12-19/ed-1/?sp=2,"Washington Andrew Carnegie takes little stock in rumors of business depression, either present or impending At th\"" White House in Washington when asked what he thought of the general business outlook, Mr Carnegie said: \""The recent reports of impending widespread business depression are ail tom my rot.\u201d The administration currency bill was subjected to many attacks dur ing the debate In the senate at Wash ington."
26,1913 Recession,crisis,"hot springs weekly star (hot springs, s.d.) 1892-1917",south dakota,1913-12-19,business depression,http://www.loc.gov/resource/sn96090259/1913-12-19/ed-1/?sp=10,"Bis aon T*mple is a member of tb* WEEKS N E W S Summarized for Very Busy Readers Washington Senator Elihu Root of New York se vuioly arraigned the administration currency bill in the senate at Wash ingtou, Representative Harrison of Missis sippi has prepared a bill, which he will Introduce in the house at Wash Ington, to declare illegal options and futures on cotton, hops, wheat, corn, oat\u00ab, rye, barley, wheat flour, pork, lard, bacon or other agricultural or food products."
27,1913 Recession,crisis,"hot springs weekly star (hot springs, s.d.) 1892-1917",south dakota,1913-12-19,business depression,http://www.loc.gov/resource/sn96090259/1913-12-19/ed-1/?sp=10,"At th'j White House in Washington when asked what he thought of the general business outlook, Mr."
28,1913 Recession,crisis,"the odanah star (odanah, ashland co., wis.) 1912-1916",wisconsin,1913-06-27,business depression,http://www.loc.gov/resource/sn84024927/1913-06-27/ed-1/?sp=4,"Unless the senate amends the bill It is asserted that \u201cScotch monuments will be seen in our cemeteries.\u201d If senators have, any imagination these grewsome specters surely will be ex cluded."
29,1913 Recession,crisis,"the odanah star (odanah, ashland co., wis.) 1912-1916",wisconsin,1913-06-27,business depression,http://www.loc.gov/resource/sn84024927/1913-06-27/ed-1/?sp=4,If the new schedules are effective this summer Vhe country will have a year\u2019s experience upon which to reach conclusions next year in ample time to line up in the congressional elec tions.
30,1913 Recession,crisis,"the odanah star (odanah, ashland co., wis.) 1912-1916",wisconsin,1913-06-27,business depression,http://www.loc.gov/resource/sn84024927/1913-06-27/ed-1/?sp=4,"If Republican predictions about business depression have happily failed to materialize In the meantime, the re-election of a Democratic house will be almost a foregone conclusion."
31,1913 Recession,crisis,"the odanah star (odanah, ashland co., wis.) 1912-1916",wisconsin,1913-06-27,business depression,http://www.loc.gov/resource/sn84024927/1913-06-27/ed-1/?sp=4,"The Democratic party is pledged to bring about this result, and if it can be successful without reducing wages or lessening produc tion, it will achieve tremendous popu larity."
32,1913 Recession,crisis,"atlanta georgian (atlanta, ga.) 1912-1939",georgia,1913-11-11,business depression,http://www.loc.gov/resource/sn89053729/1913-11-11/ed-6/?sp=18,"The country should not be rushed into a measure which is undemocratic in principle and which will not inure to the benefit of the people, as we were rushed into a measure of tariff reduction which opened our markets to the products of foreign countries without opening foreign markets to the products of our country."
33,1913 Recession,crisis,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1914-01-14,business outlook,http://www.loc.gov/resource/sn86069675/1914-01-14/ed-1/?sp=2,"IAX& UUrMUA.(acsjtatc 10 express iucu What is the business outlook for the year on which we are just entering Former Republi can oSce-bolders tell us that things are gloomv, for the simple reason that prosperity and a Democratic Administration can not go together."
34,1913 Recession,crisis,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1914-01-14,business outlook,http://www.loc.gov/resource/sn86069675/1914-01-14/ed-1/?sp=2,"Of course, the sooner the people learn that neither party can feed the people, the better off they will be, and the nearer they wiH be to the ccoaomistic facts."
35,1913 Recession,crisis,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1914-01-14,business outlook,http://www.loc.gov/resource/sn86069675/1914-01-14/ed-1/?sp=2,"convicted, but no guilty man j Tjt a bottle of Vlnol with the un- ject of national business and in dustry, prints the following edi torial on the business outlook."
36,1913 Recession,crisis,"the washington herald (washington, d.c.) 1906-1939",district of columbia,1914-01-21,business outlook,http://www.loc.gov/resource/sn83045433/1914-01-21/ed-1/?sp=6,REDHELD IS HOPEFUL OF BUSINESS OUTLOOK Says Mr.
