claim_id,episode,kind,publisher,state,date,search_term,page_url,quote,topic,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,direction,is_prediction,months,predicted_label,realized_label,basis,hit,brier
1,1907 Panic,crisis,"seward weekly gateway (seward, alaska) 1905-1914",alaska,1907-11-09,financial panic,http://www.loc.gov/resource/sn98059811/1907-11-09/ed-1/?sp=1,WILL NOT CALL EXTRA SESSION President Roosevelt Thinks It Un necessary as Panic Is Nearly Over.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
3,1907 Panic,crisis,"st. landry clarion (opelousas, la.) 1890-1921",louisiana,1907-11-23,financial panic,http://www.loc.gov/resource/sn88064250/1907-11-23/ed-1/?sp=8,"Others be lieving that the products in question will be in unusual quantity, proceed to take risks on the consequent decline of' prices.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
6,1907 Panic,crisis,"hattiesburg daily news (hattiesburg, miss.) 1907-1908",mississippi,1908-03-13,financial panic,http://www.loc.gov/resource/sn87065163/1908-03-13/ed-1/?sp=1,CORTELMI Supreme Court of District of Colum bia Sustains His Action During Crisis ISMISSED New Yorker Will United States Supreme CouT^VQ| teresting Aftermath of the Recent Financial Panic.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
10,1907 Panic,crisis,"the idaho scimitar (boise, idaho) 1907-1908",idaho,1907-12-14,financial panic,http://www.loc.gov/resource/sn88056114/1907-12-14/ed-1/?sp=5,The Democratic administration and the Democratic Congress followed the course marked out for them by the representatives of the same interests that have just unloaded a panic on the country and ignored the financial and business demands of the constitu ency of expectant millions that had placed them in power.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
12,1907 Panic,crisis,"tonopah daily bonanza (tonopah, nev.) 1906-1929",nevada,1908-01-16,financial panic,http://www.loc.gov/resource/sn86076142/1908-01-16/ed-1/?sp=2,ROSEBUD RAPIDLY FORGING AHEAD FINANCIAL PANIC HAVIXU GONE BY ALL PROPERTIES ARK RESUMING WORK.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
17,1907 Panic,crisis,"the commoner (lincoln, neb.) 1901-1923",nebraska,1907-11-29,financial panic,http://www.loc.gov/resource/46032385/1907-11-29/ed-1/?sp=4,"President Roosevelt message, so I am told, will start with a reference to the financial panic which the country has just experienced.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
18,1907 Panic,crisis,"the commoner (lincoln, neb.) 1901-1923",nebraska,1907-11-29,financial panic,http://www.loc.gov/resource/46032385/1907-11-29/ed-1/?sp=4,"He will declare in that message that the panic was not due to any lack of prosperity, to any strin gency in the money market or any contraction of the currency, but simply to a general lack of confidence on thepart of the public In great banks and financial institutions due to the oper ations of such financiers as Mr.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
21,1907 Panic,crisis,"aberdeen herald (aberdeen, chehalis county, w.t.) 1886-1917",washington,1907-10-21,financial panic,http://www.loc.gov/resource/sn87093220/1907-10-21/ed-1/?sp=4,THE FARMERS WILL BE BUYING MORE AUTOMO BILES THIS FALL.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
22,1907 Panic,crisis,"aberdeen herald (aberdeen, chehalis county, w.t.) 1886-1917",washington,1907-10-21,financial panic,http://www.loc.gov/resource/sn87093220/1907-10-21/ed-1/?sp=4,AND INSTEAD OF DISASTER THERE WILL BE MORE REAL PROSPERITY THAN EVER BEFORE.,general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
26,1907 Panic,crisis,"coeur d'alene evening press (coeur d'alene, idaho) 1907-1929",idaho,1908-01-23,financial panic,http://www.loc.gov/resource/sn88056094/1908-01-23/ed-1/?sp=4,PERHAPS THE FINANCIAL PANIC WILL TEACH US A LESSON AND SOME TIME IN THE FUTURE THE AMERICANS WILL GO BACK TO WORK.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
