claim_id,episode,kind,publisher,state,date,search_term,page_url,quote,is_prediction,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,months,horizon_basis,predicted_label,realized_label,basis,hit,brier
1,1907 Panic,crisis,"seward weekly gateway (seward, alaska) 1905-1914",alaska,1907-11-09,financial panic,http://www.loc.gov/resource/sn98059811/1907-11-09/ed-1/?sp=1,WILL NOT CALL EXTRA SESSION President Roosevelt Thinks It Un necessary as Panic Is Nearly Over.,yes,general_business,improve,na,na,vague,assertive,official,President Roosevelt,12,default_12,improve,improve,NBER,1.0,0.009999999999999995
3,1907 Panic,crisis,"st. landry clarion (opelousas, la.) 1890-1921",louisiana,1907-11-23,financial panic,http://www.loc.gov/resource/sn88064250/1907-11-23/ed-1/?sp=8,"Others be lieving that the products in question will be in unusual quantity, proceed to take risks on the consequent decline of' prices.",yes,prices,worsen,down,na,vague,assertive,unclear,na,12,default_12,down,,no CPI before 1913,,
7,1907 Panic,crisis,"hattiesburg daily news (hattiesburg, miss.) 1907-1908",mississippi,1908-03-13,financial panic,http://www.loc.gov/resource/sn87065163/1908-03-13/ed-1/?sp=1,COTTON MILLS ARE HARD HIT Poor Demand For Goods and High Price of Cotton Cause Wage Redaction j LOWELL MANUFACTURES ANNOUNCE SUBSTANTIAL CUT I OtheVs to Follow Latter Part of A and Many Thousand Employes Will Be Seriously Effected by the Curtailment.,yes,employment,worsen,na,up,vague,assertive,journalist,na,12,default_12,up,,no UNRATE before 1948,,
8,1907 Panic,crisis,"the hattiesburg news (hattiesburg, miss.) 1908-1917",mississippi,1908-06-01,financial panic,http://www.loc.gov/resource/sn87065167/1908-06-01/ed-1/?sp=1,June 1.\u2014Two thousand miners and as many furnace men returtied to work this morning It Is estimated that the railroads will put on 5;000 more during the week.,yes,employment,improve,na,down,vague,hedged,unclear,na,12,default_12,down,,no UNRATE before 1948,,
9,1907 Panic,crisis,"the idaho recorder (salmon city, idaho) 1886-1927",idaho,1907-12-19,financial panic,http://www.loc.gov/resource/sn86091188/1907-12-19/ed-1/?sp=9,"Most business men think that the financial crisis, which is now with us, can be cured by the issuance of an elastic currency for the government, and that when we cure our financial disorder that tlie industrial disorder will automatically set itself aright.",yes,general_business,improve,na,na,vague,hedged,expert,na,12,default_12,improve,improve,NBER,1.0,0.09000000000000002
12,1907 Panic,crisis,"tonopah daily bonanza (tonopah, nev.) 1906-1929",nevada,1908-01-16,financial panic,http://www.loc.gov/resource/sn86076142/1908-01-16/ed-1/?sp=2,ROSEBUD RAPIDLY FORGING AHEAD FINANCIAL PANIC HAVIXU GONE BY ALL PROPERTIES ARK RESUMING WORK.,yes,general_business,improve,na,na,vague,assertive,journalist,na,12,default_12,improve,improve,NBER,1.0,0.009999999999999995
15,1907 Panic,crisis,"the river press (fort benton, mont.) 1880-current",montana,1907-10-23,financial panic,http://www.loc.gov/resource/sn85053157/1907-10-23/ed-1/?sp=8,"NO FEAR, THE FARMERS WILL BE BUYING MORE AUTOMO BILES THIS FALL, AND INSTEAD OF DISASTER THERE WILL BE MORE REAL PROSPERITY THAN EVER BEFORE.",yes,general_business,improve,na,na,vague,assertive,unclear,na,6,inferred_short,improve,worsen,NBER,0.0,0.81
21,1907 Panic,crisis,"aberdeen herald (aberdeen, chehalis county, w.t.) 1886-1917",washington,1907-10-21,financial panic,http://www.loc.gov/resource/sn87093220/1907-10-21/ed-1/?sp=4,THE FARMERS WILL BE BUYING MORE AUTOMO BILES THIS FALL.,yes,general_business,improve,na,na,vague,assertive,unclear,na,6,inferred_short,improve,worsen,NBER,0.0,0.81
22,1907 Panic,crisis,"aberdeen herald (aberdeen, chehalis county, w.t.) 1886-1917",washington,1907-10-21,financial panic,http://www.loc.gov/resource/sn87093220/1907-10-21/ed-1/?sp=4,AND INSTEAD OF DISASTER THERE WILL BE MORE REAL PROSPERITY THAN EVER BEFORE.,yes,general_business,improve,na,na,vague,assertive,unclear,na,12,default_12,improve,improve,NBER,1.0,0.009999999999999995
23,1907 Panic,crisis,"bismarck daily tribune (bismarck, dakota [n.d.]) 1881-1916",north dakota,1908-01-09,financial panic,http://www.loc.gov/resource/sn85042242/1908-01-09/ed-1/?sp=3,"\u2022\u2022nf Of course where corporations are still acting outside of the law UNKNOWINGLY it is to be expected that they should be set right, but I am sure they can be accomplished without harm to any one and without the least injury to credit, if the situation is PROPERLY AND INTELLIGENTLY HANDLED by the administration.",yes,general_business,improve,na,na,vague,hedged,official,na,12,default_12,improve,improve,NBER,1.0,0.09000000000000002
24,1907 Panic,crisis,"bismarck daily tribune (bismarck, dakota [n.d.]) 1881-1916",north dakota,1908-01-09,financial panic,http://www.loc.gov/resource/sn85042242/1908-01-09/ed-1/?sp=3,"NO FEAR, THE FARMERS WILL BE' BUYING MORE AUTOMO\u00ad BILES THIS FALL, AND IN8TEAD OF DISASTER THERE WILL BE MORE REAL PROSPERITY THAN EVER BEFORE.",yes,general_business,improve,na,na,vague,assertive,unclear,na,6,inferred_short,improve,improve,NBER,1.0,0.009999999999999995
26,1907 Panic,crisis,"coeur d'alene evening press (coeur d'alene, idaho) 1907-1929",idaho,1908-01-23,financial panic,http://www.loc.gov/resource/sn88056094/1908-01-23/ed-1/?sp=4,PERHAPS THE FINANCIAL PANIC WILL TEACH US A LESSON AND SOME TIME IN THE FUTURE THE AMERICANS WILL GO BACK TO WORK.,yes,employment,improve,na,down,vague,hedged,unclear,na,12,default_12,down,,no UNRATE before 1948,,
29,1907 Panic,crisis,"the wisconsin tobacco reporter (edgerton, wis.) 1877-1950",wisconsin,1908-01-17,financial panic,http://www.loc.gov/resource/sn86086586/1908-01-17/ed-1/?sp=1,"Fully 85 per cent, of this falling off, however, took place during the last quarter of the year, and may in a large measure be put down to the financial panic, a more or less ac cidental condition, which, there is rea son to hope, will not recur.\u2014Journal.",yes,general_business,improve,na,na,vague,hedged,journalist,na,12,default_12,improve,improve,NBER,1.0,0.09000000000000002
31,1907 Panic,crisis,"the commonwealth (scotland neck, n.c.) 1896-1929",north carolina,1907-10-17,business outlook,http://www.loc.gov/resource/sn92073908/1907-10-17/ed-1/?sp=4,The Merchants Journal and Com merce is very sanguine regarding the business outlook in the South.,yes,general_business,improve,na,na,vague,assertive,expert,na,12,default_12,improve,improve,NBER,1.0,0.009999999999999995
32,1907 Panic,crisis,"the commonwealth (scotland neck, n.c.) 1896-1929",north carolina,1907-10-17,business outlook,http://www.loc.gov/resource/sn92073908/1907-10-17/ed-1/?sp=4,"In a recent issue it says: \""The business outlook improves as the autumn season opens.",yes,general_business,improve,na,na,vague,assertive,unclear,na,12,default_12,improve,improve,NBER,1.0,0.009999999999999995
33,1907 Panic,crisis,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,business outlook,http://www.loc.gov/resource/sn85042400/1907-10-23/ed-1/?sp=3,"\""Even under present conditions the business outlook appears to me to be bright.\"" I \""Business conditions on the whole ap pear to me personally, to be very good, said Charles A.",yes,general_business,improve,na,na,vague,hedged,expert,Charles A,12,default_12,improve,improve,NBER,1.0,0.09000000000000002
34,1907 Panic,crisis,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,business outlook,http://www.loc.gov/resource/sn85042400/1907-10-23/ed-1/?sp=3,I can see no reason to be lieve there will be a panic in the future.,yes,general_business,improve,na,na,vague,assertive,unclear,na,12,default_12,improve,improve,NBER,1.0,0.009999999999999995
35,1907 Panic,crisis,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,business outlook,http://www.loc.gov/resource/sn85042400/1907-10-23/ed-1/?sp=3,"The business outlook, as I see it, is bright save for the money tightness of which I spoke and I believe that this is a temporary condition.\"" WILL CARRY MANY CHARTS.",yes,general_business,improve,na,na,vague,assertive,expert,na,12,default_12,improve,improve,NBER,1.0,0.009999999999999995
39,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-01-19,business outlook,http://www.loc.gov/resource/sn84026749/1908-01-19/ed-1/?sp=6,He unhesi tatingly answered the query as to the business outlook for the merchant for the year with the statement that no rezson cxisted for a belief in any o\u2019her than a bright future.,yes,general_business,improve,na,na,12,assertive,expert,na,12,stated,improve,improve,NBER,1.0,0.009999999999999995
40,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-01-19,business outlook,http://www.loc.gov/resource/sn84026749/1908-01-19/ed-1/?sp=6,IT see no reason for any but bright view of the coming year.\u201d Kann Sees Reason To Keep Expanding The confidence of 8.,yes,general_business,improve,na,na,12,assertive,expert,Kann,12,stated,improve,improve,NBER,1.0,0.009999999999999995
45,1907 Panic,crisis,"the wallace miner (wallace, idaho) 1907-current",idaho,1907-10-17,business outlook,http://www.loc.gov/resource/sn85007266/1907-10-17/ed-1/?sp=2,"What are they doing to rem edy any of the evils they complain of The prices of the metals are of course, beyond their control, but they could at least help to publish abroad the fact that they are much higher than any body expected a few years ago; are not likely to go lower and will probably go much j higher again.",yes,prices,improve,up,na,vague,hedged,unclear,na,12,default_12,up,,no CPI before 1913,,
47,1907 Panic,crisis,"daily press (newport news, va.) 1896-current",virginia,1907-10-13,business outlook,http://www.loc.gov/resource/sn83045830/1907-10-13/ed-1/?sp=10,"tors to make Iho puWie and tho other speculator.; believe ihat the business outlook is dark, and that tho condi Horm will be still \\vor:,e throe or six month's hence.",yes,general_business,worsen,na,na,6,assertive,unclear,na,6,stated,worsen,worsen,NBER,1.0,0.009999999999999995
49,1907 Panic,crisis,"the tucumcari news and tucumcari times (tucumcari, n.m.) 1907-1921",new mexico,1908-03-07,business outlook,http://www.loc.gov/resource/sn93061711/1908-03-07/ed-1/?sp=17,"Welch of the Welch hard ware Co., El Paso, was in town a day or two this week and was greatly pleased with the business outlook.",yes,general_business,improve,na,na,vague,hedged,expert,Welch,12,default_12,improve,improve,NBER,1.0,0.09000000000000002
50,1907 Panic,crisis,"the washington herald (washington, d.c.) 1906-1939",district of columbia,1908-04-05,business outlook,http://www.loc.gov/resource/sn83045433/1908-04-05/ed-1/?sp=31,"We are glad of last yeer, shows that we are prosperin face of a poorer business outlook than respectful citizens has begun, in the This building enterprise wich our most boom wich Bingville has ahead of it.",yes,general_business,improve,na,na,vague,assertive,journalist,na,12,default_12,improve,improve,NBER,1.0,0.009999999999999995
51,1907 Panic,crisis,"tazewell republican (tazewell, va.) 1892-1919",virginia,1908-01-09,business outlook,http://www.loc.gov/resource/sn95079154/1908-01-09/ed-1/?sp=2,From present indications the business outlook for 1908 in the United States is good.,yes,general_business,improve,na,na,12,hedged,journalist,na,12,stated,improve,improve,NBER,1.0,0.09000000000000002
52,1907 Panic,crisis,"the richmond palladium and sun-telegram (richmond, ind.) 1907-1939",indiana,1907-10-06,business outlook,http://www.loc.gov/resource/sn86058226/1907-10-06/ed-1/?sp=4,"It is to the interest of some specula tors to make the public and the other speculators believe that the business outlook Is dark, and that the condi tions will be still worse three or six months hence.",yes,general_business,worsen,na,na,6,assertive,unclear,na,6,stated,worsen,worsen,NBER,1.0,0.009999999999999995
54,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-05-17,business outlook,http://www.loc.gov/resource/sn84026749/1908-05-17/ed-1/?sp=5,"The people are geiling back to a calmer frame, confidence that the courts will protect rights and inter ests and persons has been inspired by Some recent decisions.",yes,general_business,improve,na,na,vague,assertive,journalist,na,12,default_12,improve,improve,NBER,1.0,0.009999999999999995
55,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-05-17,business outlook,http://www.loc.gov/resource/sn84026749/1908-05-17/ed-1/?sp=5,"|E PAE |E O58 We are getting \""back to better condi tions \u201cThe business outlook?",yes,general_business,improve,na,na,vague,assertive,unclear,na,12,default_12,improve,improve,NBER,1.0,0.009999999999999995
59,1907 Panic,crisis,"evening star (washington, d.c.) 1854-1972",district of columbia,1907-11-23,business outlook,http://www.loc.gov/resource/sn83045462/1907-11-23/ed-1/?sp=21,"4 NEW YORK, November 23.-Several railroad presidents who have just returned to this city from the west expressed hope ful views of the business outlook In the west, while admitting that tho disturb ances through which the country is pass ing must of necessity be reflected in a falling off in railroad earnings.",yes,general_business,improve,na,na,vague,hedged,expert,na,12,default_12,improve,improve,NBER,1.0,0.09000000000000002
60,1907 Panic,crisis,"the white pine news (ely, nev.) 1906-1910",nevada,1908-06-24,business outlook,http://www.loc.gov/resource/sn86076249/1908-06-24/ed-1/?sp=3,"Traffic officials of the great railroad system spoke In a tone- of some encouragement of the business outlook, although having actual outlook, although having small actual Increase in tonnage Yesterday was another practically featureless day in the* market.",yes,general_business,improve,na,na,vague,hedged,expert,na,12,default_12,improve,improve,NBER,1.0,0.09000000000000002
