quote,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,scope,is_quoted_forecaster,conditional_on,page_id,date,publisher,source_text_type,predicted_norm,realized,basis,hit,scorable,unscorable_reason,horizon_used,horizon_basis
Start a mission church in a poor community and in a little ?while evidences of increasing prosperity among the people will be seen.,general_business,improve,na,na,vague,assertive,journalist,na,regional,False,starting a mission church in a poor community,/service/ndnp/vi/batch_vi_nipon_ver01/data/10021978/00271764832/1921020901/0107.xml,1921-02-09,"the presbyterian of the south : [combining the] southwestern presbyterian, central presbyterian, southern presbyterian (atlanta, ga.) 1909-1931",full_page,improve,,,,False,scope=regional (not US national),,
It has been expected that the election of Dix in New York m Tuesday next will change the situation mightily and from the recent remarks made by the president of the National Copper Bank re garding conditions generally it is apparent that the tide is about to turn.,general_business,improve,na,na,vague,hedged,journalist,na,national,False,election of Dix,/service/ndnp/uuml/batch_uuml_fignon_ver01/data/2010218519/00237285505/1910110501/1065.xml,1910-11-05,"goodwin's weekly : a thinking paper for thinking people (salt lake city, utah) 1902-1929",full_page,improve,worsen,NBER,0.0,True,,12.0,default
"The coming year ought to Bhow an increase of 1,000,000 arable acres under irrlgat- ing systems; the food supply should be enhanced accordingly.",other,improve,na,na,12,hedged,journalist,na,regional,False,na,/service/ndnp/uuml/batch_uuml_fignon_ver01/data/2010218519/00237285505/1910123101/1272.xml,1910-12-31,"goodwin's weekly : a thinking paper for thinking people (salt lake city, utah) 1902-1929",full_page,improve,,,,False,scope=regional (not US national),,
We believe three or four new great mines will be added to the dividend paying lists; three or four new manufacturles should be added to tho present list and places for every idle man who wants to work should be found.,general_business,improve,na,down,12,hedged,journalist,na,regional,False,na,/service/ndnp/uuml/batch_uuml_fignon_ver01/data/2010218519/00237285505/1910123101/1272.xml,1910-12-31,"goodwin's weekly : a thinking paper for thinking people (salt lake city, utah) 1902-1929",full_page,improve,,,,False,scope=regional (not US national),,
Aspects of Salt Lake for the future are JETl of orlghtest,general_business,improve,na,na,vague,assertive,journalist,na,regional,False,na,/service/ndnp/uuml/batch_uuml_fignon_ver01/data/2010218519/00237285505/1910123101/1272.xml,1910-12-31,"goodwin's weekly : a thinking paper for thinking people (salt lake city, utah) 1902-1929",full_page,improve,,,,False,scope=regional (not US national),,
"Every sign points to an unusually prosperous year, not only In tho United States, but throughout the world,",general_business,improve,na,na,12,assertive,expert,Charles M. Schwab,national,True,na,/service/ndnp/nbu/batch_nbu_ford_ver02/data/2010270500/00211102639/1911022401/0831.xml,1911-02-24,"dakota county herald (dakota city, neb.) 1891-1965",full_page,improve,worsen,NBER,0.0,True,,12.0,stated
Manufacturers announce that f pr'np Fuits will be 30 per cent cheaper.,prices,improve,down,na,6,assertive,expert,na,industry,True,na,/service/ndnp/nbu/batch_nbu_ford_ver02/data/2010270501/00211102688/1921031501/0274.xml,1921-03-15,"the alliance herald (alliance, box butte county, neb.) 1902-1922",full_page,down,,,,False,scope=industry (not US national),,
The man who looks for a long perod of business depression is cu te as fool- ish as tre one who thought war profits could last forever.,general_business,improve,na,na,vague,assertive,journalist,na,national,False,na,/service/ndnp/nbu/batch_nbu_ford_ver02/data/2010270501/00211102688/1921031501/0274.xml,1921-03-15,"the alliance herald (alliance, box butte county, neb.) 1902-1922",full_page,improve,improve,INDPRO,1.0,True,,12.0,default
"‘•The creation of Jobs for nearly 1,000,000 men, and the building pro gram which would reach $25,000,000 at the same ratio If applied to all posts thrown quickly into the revival of business can easily be a turning force for the revival of good times.",general_business,improve,na,down,vague,hedged,official,Ralph T. O'Neil,national,True,if applied to all posts,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527677/1930111301/1005.xml,1930-11-13,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default
What the public spends now is likely tc return.,general_business,improve,na,na,vague,hedged,journalist,na,national,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527677/1930121101/1042.xml,1930-12-11,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default
"Money In a tin can never did anybody any good, but put In motion will stimulate business, and a dollar now buys more than It has for a good while.",general_business,improve,na,na,vague,assertive,journalist,na,national,False,money is put in motion,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527677/1930121101/1042.xml,1930-12-11,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default
The trees will grow I bout ns well us they do In Haiti. Doctor Kellerman believes.,other,improve,na,na,vague,hedged,expert,Karl F. Kellerman,industry,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527677/1930121101/1042.xml,1930-12-11,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,,,,False,scope=industry (not US national),,
"To add another 15 per cent increase to rail freight rates on coal, as now asked for by the railroads, will be suicidal.",general_business,worsen,na,na,vague,assertive,expert,na,industry,True,railroads get a 15 percent rate increase,/service/ndnp/nbu/batch_nbu_jeffersonii_ver02/data/2010270509/00279527860/1937120201/1255.xml,1937-12-02,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,,,,False,scope=industry (not US national),,
The founders of the company also report that present indications make the business outlook for 1938 as being favorable.,general_business,improve,na,na,12,hedged,expert,B. C. Gamble and P. W. Skogmo,regional,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527689/1938022401/0084.xml,1938-02-24,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,,,,False,scope=regional (not US national),,
"By the end of the year, munitions output is expected to drop 32 per cent below the March figure.",general_business,worsen,na,na,6,hedged,journalist,na,industry,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945080901/0049.xml,1945-08-09,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,,,,False,scope=industry (not US national),,
"Because various manufacturers will be in the market for vast quantities of raw materials to fill orders, and civilian demand for essential goods, food and many services will far exceed supply, maintenance of price control in the immediate postwar period will be required for curbing runaway prices, Bowles said.",prices,worsen,up,na,vague,assertive,official,Chester Bowles,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945080901/0049.xml,1945-08-09,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,up,flat,CPI,0.0,True,,6.0,inferred_short
"If the Japanese war should, by any chance, end suddenly—before another year—it would mean that reconversion, threats of inflation and unemployment and a hundred other problems will be upon us",general_business,worsen,up,up,12,assertive,journalist,Baukhage,national,False,Japanese war ends suddenly,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945080901/0049.xml,1945-08-09,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,worsen,INDPRO,1.0,True,,12.0,stated
an early end of rationing was expected with OPA's revelation that it would reduce meat point values in view of military cutbacks in orders and a prospective heavy fall run of cattle,general_business,improve,na,na,6,hedged,official,OPA,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945090601/0077.xml,1945-09-06,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,flat,INDPRO,0.0,True,,6.0,stated
unofficial predictions that rationing of cords would be terminated within 90 days were strengthened.,general_business,improve,na,na,6,hedged,journalist,na,national,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945090601/0077.xml,1945-09-06,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,flat,INDPRO,0.0,True,,6.0,stated
"Forecasts that shoe rationing also may be ended shortly were supported by an announcement of the Tanners Council of America that production of civilian footwear may exceed 30,000,000 pair a month for the rest of the year",general_business,improve,na,na,6,hedged,expert,Tanners Council of America,industry,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945090601/0077.xml,1945-09-06,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,,,,False,scope=industry (not US national),,
"We, in the United States, are going to get only about three-quarters of what we raise this year, according to unofficial estimates.",other,worsen,na,na,6,hedged,journalist,na,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945090601/0077.xml,1945-09-06,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,flat,INDPRO,0.0,True,,6.0,stated
Europe is going to need about 25 per cent more food and textiles than she normally needs.,other,worsen,na,na,vague,assertive,journalist,na,foreign,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945090601/0077.xml,1945-09-06,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,,,,False,scope=foreign (not US national),,
"Next year, production will be 15 per cent under this year.",other,worsen,na,na,12,assertive,expert,na,foreign,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945090601/0077.xml,1945-09-06,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,,,,False,scope=foreign (not US national),,
Production has speeded up beyond earlier reports with every indication that the market will shortly be well supplied.,markets,improve,na,na,vague,hedged,journalist,na,industry,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945090601/0078.xml,1945-09-06,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,,,,False,scope=industry (not US national),,
Look for the end of practically all rationing by the end of the year.,general_business,improve,na,na,6,assertive,journalist,na,national,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945092001/0094.xml,1945-09-20,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,flat,INDPRO,0.0,True,,6.0,stated
Experts on Capitol Hill now are pretty definite in their forecast* for a reduction of income taxes on 1946 incomes.,other,improve,na,na,6,assertive,expert,na,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945092001/0094.xml,1945-09-20,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,flat,INDPRO,0.0,True,,6.0,stated
"tiie problem of unemployment, of lower wages, if only for n short temporary period is predicted will slash the national Income from approximately 102 billions as of now to around 112 billions annually as of January 1, KMC.",general_business,worsen,na,up,6,hedged,journalist,na,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945092001/0094.xml,1945-09-20,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,flat,INDPRO,0.0,True,,6.0,stated
predict an army of eight million unemployed by next Spring with tiie government doing nothing about it.,employment,worsen,na,up,6,assertive,journalist,na,national,True,with tiie government doing nothing about it,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945092001/0094.xml,1945-09-20,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,up,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,6.0,stated
"Because of their generally fine performance while ""pinch-hitting” during the wartime labor shortage, older workers will find employment opportunities much broader in the postwar era than in prewar years, Northwestern National Life Insurance company found in a survey.",employment,improve,na,down,vague,assertive,expert,Northwestern National Life Insurance company,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945100401/0109.xml,1945-10-04,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,down,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,12.0,default
"Hard-and-fast age limitations existing in the prewar era were pretty thoroughly broken down during the war and will stay broken in many fields, although most large concerns will conduct their most intensive recruiting in the 20 to 30 age group.",employment,improve,na,down,vague,assertive,expert,Northwestern National Life Insurance company,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945100401/0109.xml,1945-10-04,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,down,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,12.0,default
"As experts looked for the erection of 500,000 private dwellings next year and a peak of BOO.000 in 1948, officials sought to increase the supply of scarce building materials, permitting wage and price boosts and priorities to break bottlenecks, if necessary.",general_business,improve,na,na,12,hedged,expert,experts,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945100401/0109.xml,1945-10-04,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated
