month,page_id,date,publisher,state,lccn,matched_term,in_panel
1900-01,http://www.loc.gov/resource/sn93050700/1900-01-26/ed-1/?sp=1,1900-01-26,"the daily chieftain (vinita, ind. ter. [okla.]) 1898-1902",oklahoma,sn93050700,business conditions,0
1900-01,http://www.loc.gov/resource/sn83030214/1900-01-27/ed-1/?sp=2,1900-01-27,new-york tribune (new york [n.y.]) 1866-1924,new york,sn83030214,business conditions,1
1900-01,http://www.loc.gov/resource/sn83045462/1900-01-06/ed-1/?sp=17,1900-01-06,"evening star (washington, d.c.) 1854-1972",district of columbia,sn83045462,business conditions,1
1900-01,http://www.loc.gov/resource/sn92066906/1900-01-05/ed-1/?sp=2,1900-01-05,"the wheatland world (wheatland, laramie county, wyo.) 1894-1921",wyoming,sn92066906,business conditions,0
1900-01,http://www.loc.gov/resource/sn84029386/1900-01-18/ed-1/?sp=3,1900-01-18,"abilene weekly reflector (abilene, kan.) 1888-1935",kansas,sn84029386,business conditions,0
1900-01,http://www.loc.gov/resource/sn85052141/1900-01-05/ed-1/?sp=4,1900-01-05,"the hickman courier (hickman, ky.) 1859-current",kentucky,sn85052141,business conditions,0
1900-01,http://www.loc.gov/resource/sn86069452/1900-01-20/ed-1/?sp=4,1900-01-20,"the middlesborough news (middlesborough, ky.) 1889-19??",kentucky,sn86069452,business outlook,0
1900-01,http://www.loc.gov/resource/sn93067757/1900-01-06/ed-1/?sp=2,1900-01-06,"lancaster enterprise (lancaster, s.c.) 1891-1905",south carolina,sn93067757,business outlook,0
1900-01,http://www.loc.gov/resource/sn82014635/1900-01-04/ed-1/?sp=6,1900-01-04,"the wichita daily eagle (wichita, kan.) 1890-1906",kansas,sn82014635,business outlook,0
1900-01,http://www.loc.gov/resource/sn85038709/1900-01-26/ed-1/?sp=5,1900-01-26,"alma record (alma, mich.) 1878-1928",michigan,sn85038709,business outlook,0
1900-01,http://www.loc.gov/resource/sn92067235/1900-01-10/ed-1/?sp=1,1900-01-10,"rawlins semi-weekly republican (rawlins, carbon county, wyo.) 1898-1901",wyoming,sn92067235,business outlook,0
1900-01,http://www.loc.gov/resource/sn83020847/1900-01-12/ed-1/?sp=3,1900-01-12,"springfield weekly republican (springfield, mass.) 1851-1946",massachusetts,sn83020847,business outlook,0
1900-01,http://www.loc.gov/resource/sn95060905/1900-01-14/ed-1/?sp=1,1900-01-14,"tombstone epitaph (tombstone, ariz.) 1887-current",arizona,sn95060905,trade conditions,0
1900-01,http://www.loc.gov/resource/sn86071779/1900-01-21/ed-1/?sp=2,1900-01-21,"virginian-pilot (norfolk, va.) 1898-1911",virginia,sn86071779,trade conditions,0
1900-01,http://www.loc.gov/resource/sn91070630/1900-01-10/ed-1/?sp=1,1900-01-10,the providence news (providence [r.i.]) 1891-1906,rhode island,sn91070630,trade conditions,0
1900-01,http://www.loc.gov/resource/sn91099739/1900-01-18/ed-1/?sp=5,1900-01-18,"boletín mercantil de puerto rico (san juan, p.r.) 18??-1918",puerto rico,sn91099739,trade conditions,0
1900-01,http://www.loc.gov/resource/sn91099739/1900-01-20/ed-1/?sp=5,1900-01-20,"boletín mercantil de puerto rico (san juan, p.r.) 18??-1918",puerto rico,sn91099739,trade conditions,0
1900-01,http://www.loc.gov/resource/sn86099906/1900-01-26/ed-1/?sp=1,1900-01-26,"the brownsville daily herald (brownsville, tex.) 1897-1910",texas,sn86099906,trade conditions,0
1900-01,http://www.loc.gov/resource/sn86061214/1900-01-02/ed-1/?sp=5,1900-01-02,"ottumwa semi-weekly courier (ottumwa, iowa) 1899-1903",iowa,sn86061214,the business situation,0
1900-01,http://www.loc.gov/resource/sn86072192/1900-01-08/ed-1/?sp=4,1900-01-08,"the age-herald (birmingham, ala.) 1897-1902",alabama,sn86072192,the business situation,0
1900-01,http://www.loc.gov/resource/2016270503/1900-01-13/ed-1/?sp=6,1900-01-13,"waterbury evening democrat (waterbury, conn.) 1897-1900",connecticut,2016270503,the business situation,0
1900-01,http://www.loc.gov/resource/sn83030214/1900-01-23/ed-1/?sp=12,1900-01-23,new-york tribune (new york [n.y.]) 1866-1924,new york,sn83030214,the business situation,1
1900-01,http://www.loc.gov/resource/sn82015679/1900-01-11/ed-1/?sp=7,1900-01-11,the indianapolis journal (indianapolis [ind.]) 1867-1904,indiana,sn82015679,the business situation,0
1900-01,http://www.loc.gov/resource/sn87076839/1900-01-02/ed-1/?sp=12,1900-01-02,"tri-county bulletin (grand rapids, ohio) 1897-1914",ohio,sn87076839,the business situation,0
1900-01,http://www.loc.gov/resource/sn83027089/1900-01-11/ed-1/?sp=4,1900-01-11,"odd fellows' journal (philadelphia, pa.) 1897-19??",pennsylvania,sn83027089,financial outlook,0
1900-01,http://www.loc.gov/resource/sn86072192/1900-01-25/ed-1/?sp=7,1900-01-25,"the age-herald (birmingham, ala.) 1897-1902",alabama,sn86072192,financial outlook,0
1900-01,http://www.loc.gov/resource/sn85042104/1900-01-25/ed-1/?sp=7,1900-01-25,"the news & observer (raleigh, n.c.) 1894-current",north carolina,sn85042104,financial outlook,0
1900-01,http://www.loc.gov/resource/sn86092518/1900-01-30/ed-1/?sp=7,1900-01-30,"wheeling register (wheeling, w. va.) 1878-1935",west virginia,sn86092518,financial outlook,0
1900-01,http://www.loc.gov/resource/sn84020358/1900-01-25/ed-1/?sp=11,1900-01-25,"the daily morning journal and courier (new haven, conn.) 1894-1907",connecticut,sn84020358,financial outlook,0
1900-01,http://www.loc.gov/resource/sn86063034/1900-01-15/ed-1/?sp=10,1900-01-15,"the morning news (savannah, ga.) 1887-1900",georgia,sn86063034,financial outlook,1
1900-02,http://www.loc.gov/resource/sn82015679/1900-02-28/ed-1/?sp=4,1900-02-28,the indianapolis journal (indianapolis [ind.]) 1867-1904,indiana,sn82015679,business conditions,0
1900-02,http://www.loc.gov/resource/sn84023058/1900-02-20/ed-1/?sp=5,1900-02-20,"foster's daily democrat (dover, n.h.) 1873-current",new hampshire,sn84023058,business conditions,0
1900-02,http://www.loc.gov/resource/sn82016357/1900-02-03/ed-1/?sp=2,1900-02-03,"the suburban citizen (washington, d.c.) 1891-1902",district of columbia,sn82016357,business conditions,0
1900-02,http://www.loc.gov/resource/sn84021913/1900-02-15/ed-1/?sp=6,1900-02-15,"arizona silver belt (globe city, pinal county, ariz.) 1878-19??",arizona,sn84021913,business conditions,0
1900-02,http://www.loc.gov/resource/sn86063952/1900-02-05/ed-1/?sp=8,1900-02-05,"the guthrie daily leader (guthrie, okla.) 1893-1996",oklahoma,sn86063952,business conditions,0
1900-02,http://www.loc.gov/resource/sn85047084/1900-02-17/ed-1/?sp=6,1900-02-17,"the pacific commercial advertiser (honolulu, hawaiian islands) 1885-1921",hawaii,sn85047084,business conditions,0
1900-02,http://www.loc.gov/resource/sn86090439/1900-02-10/ed-1/?sp=5,1900-02-10,"san antonio daily light (san antonio, tex.) 1886-1907",texas,sn86090439,business outlook,0
1900-02,http://www.loc.gov/resource/sn83016348/1900-02-24/ed-1/?sp=1,1900-02-24,"the cecil whig (elkton, md.) 1841-current",maryland,sn83016348,business outlook,0
1900-02,http://www.loc.gov/resource/sn86092518/1900-02-20/ed-1/?sp=5,1900-02-20,"wheeling register (wheeling, w. va.) 1878-1935",west virginia,sn86092518,business outlook,0
