month,epu
1900-01,188.8426
1900-02,163.4859
1900-03,224.7651
1900-04,117.4808
1900-05,121.096
1900-06,139.1732
1900-07,138.2354
1900-08,134.008
1900-09,124.9905
1900-10,139.0477
1900-11,128.9671
1900-12,86.68908
1901-01,140.8519
1901-02,110.8828
1901-03,168.2532
1901-04,111.2259
1901-05,116.819
1901-06,100.9994
1901-07,98.80566
1901-08,107.2323
1901-09,112.9476
1901-10,155.8634
1901-11,127.7766
1901-12,151.2054
1902-01,108.3637
1902-02,106.1299
1902-03,74.25962
1902-04,114.6129
1902-05,88.56781
1902-06,72.9398
1902-07,53.04422
1902-08,65.40536
1902-09,70.87402
1902-10,124.6817
1902-11,124.698
1902-12,105.4252
1903-01,86.94469
1903-02,99.67355
1903-03,83.19995
1903-04,93.52351
1903-05,66.98905
1903-06,68.40795
1903-07,69.12033
1903-08,85.9985
1903-09,79.35874
1903-10,74.83612
1903-11,77.12253
1903-12,95.28886
1904-01,105.3877
1904-02,104.7025
1904-03,104.3808
1904-04,79.26329
1904-05,97.04478
1904-06,103.1479
1904-07,140.6941
1904-08,86.00218
1904-09,94.46331
1904-10,94.5176
1904-11,87.17545
1904-12,74.18441
1905-01,104.1329
1905-02,101.7426
1905-03,80.23151
1905-04,69.71798
1905-05,80.8364
1905-06,85.48547
1905-07,84.11413
1905-08,105.7037
1905-09,55.9507
1905-10,82.85233
1905-11,121.1094
1905-12,91.48823
1906-01,66.77466
1906-02,112.8249
1906-03,67.88618
1906-04,76.30952
1906-05,72.4164
1906-06,99.30013
1906-07,84.73521
1906-08,75.0398
1906-09,47.29282
1906-10,69.07479
1906-11,81.47593
1906-12,76.03514
1907-01,34.75067
1907-02,59.06053
1907-03,67.73706
1907-04,58.42075
1907-05,70.50076
1907-06,63.02403
1907-07,80.24904
1907-08,71.27664
1907-09,73.20368
1907-10,57.30847
1907-11,63.27158
1907-12,85.79974
1908-01,86.69262
1908-02,90.20289
1908-03,101.9826
1908-04,91.06293
1908-05,86.62927
1908-06,84.26547
1908-07,46.90307
1908-08,58.37115
1908-09,60.61796
1908-10,96.1124
1908-11,78.26105
1908-12,100.4875
1909-01,135.5595
1909-02,138.0831
1909-03,152.1224
1909-04,113.5257
1909-05,100.7231
1909-06,84.15469
1909-07,103.6079
1909-08,107.1127
1909-09,66.11623
1909-10,74.66568
1909-11,65.28526
1909-12,105.1573
1910-01,107.8626
1910-02,113.2253
1910-03,78.07453
1910-04,87.24142
1910-05,83.78022
1910-06,111.5736
1910-07,85.52196
1910-08,57.77111
1910-09,96.9397
1910-10,75.68314
1910-11,117.1082
1910-12,78.08683
1911-01,62.84458
1911-02,104.9809
1911-03,89.37019
1911-04,117.0519
1911-05,101.2113
1911-06,88.23275
1911-07,75.4498
1911-08,96.19867
1911-09,84.22018
1911-10,102.5552
1911-11,91.44442
1911-12,99.92369
1912-01,76.9654
1912-02,97.41346
1912-03,80.87492
1912-04,54.53427
1912-05,48.26691
1912-06,83.1293
1912-07,75.65305
1912-08,77.14696
1912-09,58.58722
1912-10,59.5993
1912-11,128.9262
1912-12,97.77369
1913-01,92.74043
1913-02,106.5446
1913-03,108.6293
1913-04,135.8969
1913-05,106.4847
1913-06,118.9002
1913-07,106.1725
1913-08,108.9978
1913-09,112.0199
1913-10,124.1738
1913-11,136.1009
1913-12,155.4031
1914-01,138.6961
1914-02,99.66337
1914-03,80.7656
1914-04,102.5221
1914-05,84.88683
1914-06,163.2189
1914-07,153.2844
1914-08,226.6779
1914-09,182.4195
1914-10,110.2061
1914-11,148.7213
1914-12,100.6808
1915-01,133.526
1915-02,158.715
1915-03,150.9112
1915-04,94.3419
1915-05,138.3945
1915-06,126.382
1915-07,124.7662
1915-08,169.5356
1915-09,130.4991
1915-10,112.9903
1915-11,118.9622
1915-12,110.2232
1916-01,100.0212
1916-02,121.3209
1916-03,135.3412
1916-04,117.6329
1916-05,112.2921
1916-06,117.7286
1916-07,92.79261
1916-08,123.1433
1916-09,81.72443
1916-10,106.1053
1916-11,90.51677
1916-12,93.56287
1917-01,61.77223
1917-02,119.398
1917-03,81.87013
1917-04,122.5418
1917-05,78.45609
1917-06,104.8693
1917-07,160.9499
1917-08,145.694
1917-09,133.8939
1917-10,112.321
1917-11,119.5948
1917-12,142.8406
1918-01,156.3064
1918-02,165.6939
1918-03,118.3987
1918-04,121.1223
1918-05,153.8218
1918-06,136.8406
1918-07,175.9656
1918-08,113.1633
1918-09,108.4622
1918-10,107.1646
1918-11,229.9875
1918-12,256.4885
1919-01,201.9113
1919-02,179.1054
1919-03,144.8097
1919-04,114.2626
1919-05,132.5122
1919-06,129.0824
1919-07,145.5388
1919-08,136.201
1919-09,119.6874
1919-10,114.7487
1919-11,129.1577
1919-12,150.8555
1920-01,72.99365
1920-02,89.42496
1920-03,88.48624
1920-04,66.32037
1920-05,70.50541
1920-06,126.1104
1920-07,83.86132
1920-08,111.0241
1920-09,72.68394
1920-10,97.17714
1920-11,68.70062
1920-12,81.08698
1921-01,69.63542
1921-02,66.57771
1921-03,93.09138
1921-04,94.02025
1921-05,94.71528
1921-06,104.8352
1921-07,99.83207
1921-08,136.9072
1921-09,140.2026
1921-10,88.54073
1921-11,75.06522
1921-12,98.10078
1922-01,100.3339
1922-02,98.03942
1922-03,81.03692
1922-04,81.46726
1922-05,79.39108
1922-06,88.59433
1922-07,92.09898
1922-08,88.59078
1922-09,89.28977
1922-10,66.02129
1922-11,77.13297
1922-12,67.9686
1923-01,106.9154
1923-02,77.86567
1923-03,65.05682
1923-04,82.74852
1923-05,86.9445
1923-06,84.66419
1923-07,116.5899
1923-08,89.10556
1923-09,85.33794
1923-10,90.60307
1923-11,84.45831
1923-12,89.01038
1924-01,108.6432
1924-02,81.44839
1924-03,104.0859
1924-04,110.5461
1924-05,167.1023
1924-06,123.3424
1924-07,98.90002
1924-08,115.8547
1924-09,79.62254
1924-10,141.382
1924-11,135.8667
1924-12,104.7144
1925-01,106.0876
1925-02,63.85575
1925-03,88.21921
1925-04,83.75463
1925-05,87.77007
1925-06,75.04261
1925-07,44.9484
1925-08,78.46589
1925-09,72.03616
1925-10,94.16293
1925-11,90.11568
1925-12,71.86861
1926-01,70.88535
1926-02,73.73474
1926-03,58.19131
1926-04,52.67887
1926-05,80.30718
1926-06,67.36776
1926-07,87.34057
1926-08,90.13015
1926-09,84.41649
1926-10,79.26063
1926-11,114.1035
1926-12,83.81003
1927-01,79.88611
