predicted_direction,predicted_state_at_horizon,horizon_months,voice,hedged,attributed_to,page_id,source,arm,window,window_kind,cycle,newspaper_title,lccn,date,publisher_state,claim_month,target_month,actual_state,hit,confidence,brier,epu
worsen,recession,9,quoted_banker_or_economist,False,James Knightley,1929213013,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-24,,2009-01,2009-10,expansion,False,0.9,0.81,236.5221
worsen,recession,6,quoted_banker_or_economist,True,Gerard Lyons,1929213013,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-24,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,6,editorial,False,,1929213168,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-20,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,editorial,True,,1929213168,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-20,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
improve,expansion,6,reported_survey,False,Ms. Linden,1929213168,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-20,,2009-01,2009-07,expansion,True,0.9,0.009999999999999995,236.5221
worsen,recession,6,quoted_banker_or_economist,False,Charles English,1929213168,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-20,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,quoted_banker_or_economist,False,Mr. Arnette,1929213168,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-20,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,other,True,,1929213190,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-03,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
improve,expansion,6,quoted_banker_or_economist,False,Komal Sri-Kumar,1929213193,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-03,,2009-01,2009-07,expansion,True,0.9,0.009999999999999995,236.5221
improve,expansion,6,quoted_banker_or_economist,True,Jeremy Grantham,1929213193,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-03,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
worsen,recession,6,other,False,Ginia Bellafante,1929213246,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-03,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
improve,expansion,6,quoted_banker_or_economist,False,Martin Feldstein,1929213311,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-07,,2009-01,2009-07,expansion,True,0.9,0.009999999999999995,236.5221
improve,expansion,6,quoted_banker_or_economist,True,Martin Feldstein,1929213311,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-07,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
worsen,recession,6,quoted_banker_or_economist,True,Ivy Zelman,1929213332,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-20,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,6,other,True,,1929213332,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-20,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
