source,forecaster_id,variable_canonical,forecast_date,horizon_native,pred_growth,pred_direction,realized_direction,hit,source_file,variable_native,year
greenbook,fed_staff,general_business,1967-03-29,+1..+4Q,,,improve,,gIP_1967_1984.xlsx,gIP,1967
greenbook,fed_staff,general_business,1967-04-26,+1..+4Q,5.2,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1967
greenbook,fed_staff,general_business,1967-05-17,+1..+4Q,5.2,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1967
greenbook,fed_staff,general_business,1967-06-14,+1..+4Q,5.2,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1967
greenbook,fed_staff,general_business,1967-07-17,+1..+4Q,,,improve,,gIP_1967_1984.xlsx,gIP,1967
greenbook,fed_staff,general_business,1967-08-09,+1..+4Q,6.3,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1967
greenbook,fed_staff,general_business,1967-09-07,+1..+4Q,10.2,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1967
greenbook,fed_staff,general_business,1967-09-27,+1..+4Q,8.1,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1967
greenbook,fed_staff,general_business,1967-10-18,+1..+4Q,,,improve,,gIP_1967_1984.xlsx,gIP,1967
greenbook,fed_staff,general_business,1967-11-08,+1..+4Q,,,improve,,gIP_1967_1984.xlsx,gIP,1967
greenbook,fed_staff,general_business,1967-12-06,+1..+4Q,8.1,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1967
greenbook,fed_staff,general_business,1968-01-04,+1..+4Q,,,improve,,gIP_1967_1984.xlsx,gIP,1968
greenbook,fed_staff,general_business,1968-01-31,+1..+4Q,,,improve,,gIP_1967_1984.xlsx,gIP,1968
greenbook,fed_staff,general_business,1968-02-06,+1..+4Q,3.3333333333333335,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1968
greenbook,fed_staff,general_business,1968-02-28,+1..+4Q,7.4,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1968
greenbook,fed_staff,general_business,1968-03-27,+1..+4Q,6.2,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1968
greenbook,fed_staff,general_business,1968-04-24,+1..+4Q,,,improve,,gIP_1967_1984.xlsx,gIP,1968
