date,forecast_growth,predicted_label,realized_label,hit
1967-03-29,1.0,no_change,improve,0.0
1967-04-26,4.1,improve,improve,1.0
1967-05-17,4.7,improve,improve,1.0
1967-06-14,4.5,improve,improve,1.0
1967-07-17,,,improve,
1967-08-09,4.5,improve,improve,1.0
1967-09-07,6.4,improve,improve,1.0
1967-09-27,6.4,improve,improve,1.0
1967-10-18,,,improve,
1967-11-08,,,improve,
1967-12-06,6.2,improve,improve,1.0
1968-01-04,,,improve,
1968-01-31,,,improve,
1968-02-06,3.233,improve,improve,1.0
1968-02-28,5.5,improve,improve,1.0
1968-03-27,4.9,improve,improve,1.0
1968-04-24,,,improve,
1968-05-22,,,improve,
1968-06-12,1.8,improve,improve,1.0
1968-07-10,,,improve,
1968-08-07,0.8,no_change,improve,0.0
1968-09-04,0.4,no_change,improve,0.0
1968-10-02,,,improve,
1968-10-23,,,improve,
1968-11-20,2.45,improve,improve,1.0
1968-12-11,2.55,improve,no_change,0.0
1969-01-08,1.5,improve,no_change,0.0
1969-01-29,1.5,improve,no_change,0.0
1969-02-26,1.8,improve,no_change,0.0
1969-03-26,2.4,improve,no_change,0.0
1969-04-23,1.55,improve,no_change,0.0
1969-05-21,1.5,improve,no_change,0.0
1969-06-18,1.25,improve,worsen,0.0
1969-07-09,0.133,no_change,worsen,0.0
1969-08-06,0.1,no_change,worsen,0.0
1969-09-04,0.233,no_change,worsen,0.0
1969-10-01,-0.2,no_change,worsen,0.0
1969-10-22,-0.45,no_change,worsen,0.0
1969-11-19,1.175,improve,worsen,0.0
1969-12-10,1.225,improve,worsen,0.0
1970-01-07,1.6,improve,no_change,0.0
1970-02-04,1.3,improve,no_change,0.0
1970-03-04,1.267,improve,no_change,0.0
1970-04-01,2.75,improve,no_change,0.0
1970-04-29,3.65,improve,no_change,0.0
1970-05-20,2.7,improve,no_change,0.0
1970-06-17,2.575,improve,no_change,0.0
1970-07-15,2.833,improve,no_change,0.0
1970-08-12,3.067,improve,no_change,0.0
1970-09-09,3.0,improve,improve,1.0
1970-10-14,3.35,improve,improve,1.0
1970-11-11,3.025,improve,improve,1.0
1970-12-09,3.575,improve,improve,1.0
1971-01-06,2.7,improve,improve,1.0
1971-02-03,3.7,improve,improve,1.0
1971-03-03,3.7,improve,improve,1.0
1971-03-31,3.767,improve,improve,1.0
1971-04-28,4.2,improve,improve,1.0
1971-06-02,3.7,improve,improve,1.0
1971-06-23,4.1,improve,improve,1.0
1971-07-21,5.233,improve,improve,1.0
1971-08-20,6.6,improve,improve,1.0
1971-09-15,7.067,improve,improve,1.0
1971-10-13,7.5,improve,improve,1.0
1971-11-10,6.25,improve,improve,1.0
1971-12-08,6.475,improve,improve,1.0
1972-01-07,6.767,improve,improve,1.0
1972-02-09,6.433,improve,improve,1.0
1972-03-15,6.5,improve,improve,1.0
1972-04-12,7.15,improve,improve,1.0
1972-05-17,7.85,improve,improve,1.0
1972-06-14,7.6,improve,improve,1.0
1972-07-12,6.075,improve,improve,1.0
1972-08-09,5.95,improve,improve,1.0
1972-09-13,6.4,improve,improve,1.0
1972-10-11,5.45,improve,improve,1.0
1972-11-15,5.275,improve,improve,1.0
1972-12-13,5.35,improve,improve,1.0
1973-01-10,5.333,improve,improve,1.0
1973-02-07,4.933,improve,no_change,0.0
1973-03-14,4.967,improve,no_change,0.0
1973-04-11,4.3,improve,no_change,0.0
1973-05-09,4.35,improve,no_change,0.0
1973-06-18,2.8,improve,no_change,0.0
1973-07-11,1.8,improve,no_change,0.0
1973-08-15,1.6,improve,no_change,0.0
1973-09-12,1.95,improve,no_change,0.0
1973-10-10,1.725,improve,no_change,0.0
1973-11-14,2.375,improve,worsen,0.0
1973-12-12,0.375,no_change,worsen,0.0
1974-01-16,1.133,improve,worsen,0.0
1974-02-13,1.2,improve,worsen,0.0
1974-03-13,1.3,improve,worsen,0.0
1974-04-10,2.75,improve,worsen,0.0
1974-05-15,2.475,improve,worsen,0.0
1974-06-12,1.675,improve,worsen,0.0
1974-07-10,0.967,no_change,worsen,0.0
1974-08-14,-0.9,no_change,worsen,0.0
1974-09-04,-0.825,no_change,worsen,0.0
1974-10-09,-0.15,no_change,worsen,0.0
1974-11-13,-0.125,no_change,worsen,0.0
1974-12-11,-0.8,no_change,no_change,1.0
1975-01-15,2.675,improve,improve,1.0
1975-02-12,3.125,improve,improve,1.0
1975-03-12,3.175,improve,improve,1.0
1975-04-09,5.725,improve,improve,1.0
1975-05-14,5.125,improve,improve,1.0
1975-06-11,5.525,improve,improve,1.0
1975-07-09,5.775,improve,improve,1.0
1975-08-13,6.35,improve,improve,1.0
1975-09-10,6.025,improve,improve,1.0
1975-10-15,4.675,improve,improve,1.0
1975-11-12,4.775,improve,improve,1.0
1975-12-10,4.625,improve,improve,1.0
1976-01-14,4.267,improve,improve,1.0
1976-02-11,5.25,improve,improve,1.0
1976-03-10,5.275,improve,improve,1.0
1976-04-14,5.075,improve,improve,1.0
1976-05-12,5.225,improve,improve,1.0
1976-06-16,5.075,improve,improve,1.0
1976-07-14,5.125,improve,improve,1.0
1976-08-11,5.15,improve,improve,1.0
1976-09-15,5.375,improve,improve,1.0
1976-10-13,4.9,improve,improve,1.0
1976-11-10,4.6,improve,improve,1.0
1976-12-15,5.55,improve,improve,1.0
1977-01-12,6.1,improve,improve,1.0
1977-02-09,6.275,improve,improve,1.0
1977-03-09,6.5,improve,improve,1.0
1977-04-15,5.8,improve,improve,1.0
1977-05-11,5.9,improve,improve,1.0
1977-06-15,5.5,improve,improve,1.0
1977-07-13,5.125,improve,improve,1.0
1977-08-10,5.175,improve,improve,1.0
1977-09-14,4.85,improve,improve,1.0
1977-10-12,4.525,improve,improve,1.0
1977-11-09,4.375,improve,improve,1.0
1977-12-14,4.3,improve,improve,1.0
1978-01-11,4.775,improve,improve,1.0
1978-02-22,4.65,improve,improve,1.0
1978-03-15,4.8,improve,improve,1.0
1978-04-12,4.425,improve,improve,1.0
1978-05-10,4.25,improve,improve,1.0
1978-06-14,3.825,improve,improve,1.0
1978-07-12,3.625,improve,improve,1.0
1978-08-09,3.625,improve,no_change,0.0
1978-09-13,3.55,improve,no_change,0.0
1978-10-11,3.35,improve,no_change,0.0
1978-11-15,2.175,improve,no_change,0.0
1978-12-13,2.1,improve,no_change,0.0
1979-01-31,1.45,improve,no_change,0.0
1979-03-14,1.325,improve,no_change,0.0
1979-04-11,1.1,improve,no_change,0.0
1979-05-16,1.025,improve,worsen,0.0
1979-07-03,-0.1,no_change,worsen,0.0
1979-08-08,-0.025,no_change,worsen,0.0
1979-09-12,-0.775,no_change,worsen,0.0
1979-10-12,-0.35,no_change,worsen,0.0
1979-11-14,-1.375,worsen,no_change,0.0
1980-01-03,-1.225,worsen,no_change,0.0
1980-01-30,-2.25,worsen,no_change,0.0
1980-03-14,-2.875,worsen,no_change,0.0
1980-04-16,-2.925,worsen,no_change,0.0
1980-05-14,-2.375,worsen,improve,0.0
1980-07-02,1.4,improve,improve,1.0
1980-08-06,1.5,improve,improve,1.0
1980-09-10,1.3,improve,improve,1.0
1980-10-15,0.5,no_change,no_change,1.0
1980-11-12,0.3,no_change,no_change,1.0
1980-12-12,-0.775,no_change,worsen,0.0
1981-01-28,-0.05,no_change,worsen,0.0
1981-03-25,0.4,no_change,worsen,0.0
1981-05-13,0.6,no_change,worsen,0.0
1981-07-01,0.925,no_change,worsen,0.0
1981-08-12,0.95,no_change,worsen,0.0
1981-09-30,0.4,no_change,worsen,0.0
1981-11-10,1.4,improve,worsen,0.0
1981-12-16,1.725,improve,worsen,0.0
1982-01-27,2.725,improve,no_change,0.0
1982-03-24,3.25,improve,worsen,0.0
1982-05-12,2.95,improve,no_change,0.0
1982-06-23,2.325,improve,no_change,0.0
1982-08-18,2.725,improve,improve,1.0
1982-09-29,2.35,improve,improve,1.0
1982-11-10,3.15,improve,improve,1.0
1982-12-15,3.1,improve,improve,1.0
1983-02-02,3.65,improve,improve,1.0
1983-03-23,4.2,improve,improve,1.0
1983-05-18,4.775,improve,improve,1.0
1983-07-06,4.4,improve,improve,1.0
1983-08-17,4.2,improve,improve,1.0
1983-09-28,4.4,improve,improve,1.0
1983-11-09,4.35,improve,improve,1.0
1983-12-14,4.3,improve,improve,1.0
1984-01-25,3.975,improve,improve,1.0
1984-03-21,4.05,improve,improve,1.0
1984-05-16,3.4,improve,no_change,0.0
1984-07-11,3.025,improve,no_change,0.0
1984-08-15,3.4,improve,no_change,0.0
1984-09-26,3.3,improve,no_change,0.0
1984-10-31,3.175,improve,no_change,0.0
1984-12-12,2.9,improve,no_change,0.0
1985-02-06,3.3,improve,no_change,0.0
1985-03-20,3.125,improve,no_change,0.0
1985-05-15,2.9,improve,no_change,0.0
1985-07-03,2.575,improve,no_change,0.0
1985-08-14,2.65,improve,no_change,0.0
1985-09-25,2.75,improve,no_change,0.0
1985-10-30,2.375,improve,no_change,0.0
1985-12-11,2.125,improve,no_change,0.0
1986-02-05,2.825,improve,improve,1.0
1986-03-26,3.6,improve,improve,1.0
1986-05-14,3.925,improve,improve,1.0
1986-07-02,3.325,improve,improve,1.0
1986-08-13,3.325,improve,improve,1.0
1986-09-17,3.175,improve,improve,1.0
1986-10-29,2.85,improve,improve,1.0
1986-12-10,2.75,improve,improve,1.0
1987-02-04,2.85,improve,improve,1.0
1987-03-25,2.65,improve,improve,1.0
1987-05-13,2.55,improve,improve,1.0
1987-07-01,2.375,improve,improve,1.0
1987-08-12,2.5,improve,improve,1.0
1987-09-16,2.725,improve,improve,1.0
1987-10-28,1.925,improve,improve,1.0
1987-12-09,2.05,improve,improve,1.0
1988-02-03,2.55,improve,no_change,0.0
1988-03-23,2.625,improve,no_change,0.0
1988-05-11,2.125,improve,no_change,0.0
1988-06-22,2.025,improve,no_change,0.0
1988-08-10,2.475,improve,no_change,0.0
1988-09-14,2.775,improve,no_change,0.0
1988-10-26,3.075,improve,no_change,0.0
1988-12-07,3.225,improve,no_change,0.0
1989-02-01,2.025,improve,no_change,0.0
1989-03-22,1.75,improve,no_change,0.0
1989-05-10,1.35,improve,no_change,0.0
1989-06-28,1.35,improve,no_change,0.0
1989-08-16,1.825,improve,no_change,0.0
1989-09-27,1.675,improve,no_change,0.0
1989-11-08,1.625,improve,no_change,0.0
1989-12-13,1.625,improve,no_change,0.0
1990-01-31,2.0,improve,no_change,0.0
1990-03-21,1.925,improve,worsen,0.0
1990-05-09,1.6,improve,worsen,0.0
1990-06-27,1.775,improve,no_change,0.0
1990-08-15,1.525,improve,no_change,0.0
1990-09-26,0.725,no_change,no_change,1.0
1990-11-07,1.225,improve,no_change,0.0
1990-12-12,1.775,improve,no_change,0.0
1991-01-30,2.95,improve,no_change,0.0
1991-03-20,3.15,improve,improve,1.0
1991-05-08,3.675,improve,improve,1.0
1991-06-28,3.725,improve,improve,1.0
1991-08-14,3.35,improve,improve,1.0
1991-09-25,3.425,improve,no_change,0.0
1991-10-30,3.125,improve,improve,1.0
1991-12-11,1.9,improve,improve,1.0
1992-01-30,2.95,improve,improve,1.0
1992-03-25,3.05,improve,improve,1.0
1992-05-14,3.0,improve,improve,1.0
1992-06-26,2.675,improve,improve,1.0
1992-08-13,2.875,improve,improve,1.0
1992-09-30,2.15,improve,improve,1.0
1992-11-12,2.35,improve,improve,1.0
1992-12-16,2.675,improve,improve,1.0
1993-01-29,2.9,improve,improve,1.0
1993-03-17,2.825,improve,improve,1.0
1993-05-14,2.625,improve,improve,1.0
1993-06-30,2.45,improve,improve,1.0
1993-08-11,2.475,improve,improve,1.0
1993-09-15,2.775,improve,improve,1.0
1993-11-10,2.45,improve,improve,1.0
1993-12-15,2.65,improve,improve,1.0
1994-01-31,2.575,improve,improve,1.0
1994-03-16,2.475,improve,improve,1.0
1994-05-13,2.3,improve,improve,1.0
1994-06-30,2.375,improve,improve,1.0
1994-08-12,2.125,improve,improve,1.0
1994-09-21,2.05,improve,improve,1.0
1994-11-09,1.6,improve,improve,1.0
1994-12-14,1.875,improve,improve,1.0
1995-01-25,1.85,improve,no_change,0.0
1995-03-22,2.1,improve,improve,1.0
1995-05-17,2.3,improve,improve,1.0
1995-06-28,2.175,improve,improve,1.0
1995-08-16,2.45,improve,improve,1.0
1995-09-20,2.3,improve,improve,1.0
1995-11-08,2.55,improve,improve,1.0
1995-12-14,2.45,improve,improve,1.0
1996-01-26,2.1,improve,improve,1.0
1996-03-21,2.4,improve,improve,1.0
1996-05-16,2.075,improve,improve,1.0
1996-06-26,2.125,improve,improve,1.0
1996-08-15,2.075,improve,improve,1.0
1996-09-18,2.15,improve,improve,1.0
1996-11-06,2.225,improve,improve,1.0
1996-12-12,2.225,improve,improve,1.0
1997-01-29,2.35,improve,improve,1.0
1997-03-19,2.525,improve,improve,1.0
1997-05-15,2.225,improve,improve,1.0
1997-06-25,2.625,improve,improve,1.0
1997-08-14,2.175,improve,improve,1.0
1997-09-24,2.625,improve,improve,1.0
1997-11-06,2.225,improve,improve,1.0
1997-12-11,1.675,improve,improve,1.0
1998-01-28,1.5,improve,improve,1.0
1998-03-25,2.025,improve,improve,1.0
1998-05-14,1.95,improve,improve,1.0
1998-06-24,1.75,improve,improve,1.0
1998-08-13,1.725,improve,improve,1.0
1998-09-23,1.45,improve,improve,1.0
1998-11-12,1.55,improve,improve,1.0
1998-12-16,2.05,improve,improve,1.0
1999-01-28,2.125,improve,improve,1.0
1999-03-24,2.3,improve,improve,1.0
1999-05-13,2.7,improve,improve,1.0
1999-06-23,2.925,improve,improve,1.0
1999-08-18,3.025,improve,improve,1.0
1999-09-29,3.275,improve,improve,1.0
1999-11-10,3.475,improve,no_change,0.0
1999-12-15,3.775,improve,no_change,0.0
2000-01-27,4.0,improve,no_change,0.0
2000-03-15,4.05,improve,no_change,0.0
2000-05-11,3.825,improve,worsen,0.0
2000-06-21,3.65,improve,worsen,0.0
2000-08-16,3.95,improve,worsen,0.0
2000-09-27,3.85,improve,worsen,0.0
2000-11-08,3.7,improve,worsen,0.0
2000-12-13,3.05,improve,worsen,0.0
2001-01-25,2.8,improve,worsen,0.0
2001-03-14,2.625,improve,no_change,0.0
2001-05-09,2.875,improve,no_change,0.0
2001-06-20,2.65,improve,no_change,0.0
2001-08-16,2.3,improve,no_change,0.0
2001-09-27,0.95,no_change,no_change,1.0
2001-10-31,2.425,improve,no_change,0.0
2001-12-05,2.825,improve,improve,1.0
2002-01-23,3.175,improve,improve,1.0
2002-03-13,3.65,improve,no_change,0.0
2002-05-01,3.825,improve,no_change,0.0
2002-06-20,3.725,improve,no_change,0.0
2002-08-07,3.125,improve,no_change,0.0
2002-09-18,2.85,improve,no_change,0.0
2002-10-30,2.975,improve,no_change,0.0
2002-12-04,3.325,improve,no_change,0.0
2003-01-22,4.2,improve,no_change,0.0
2003-03-13,3.875,improve,no_change,0.0
2003-04-30,4.3,improve,improve,1.0
2003-06-18,4.75,improve,improve,1.0
2003-08-06,4.7,improve,improve,1.0
2003-09-10,4.975,improve,improve,1.0
2003-10-22,5.075,improve,improve,1.0
2003-12-03,5.25,improve,improve,1.0
2004-01-21,5.075,improve,improve,1.0
2004-03-11,4.9,improve,improve,1.0
2004-04-28,4.5,improve,improve,1.0
2004-06-23,4.35,improve,improve,1.0
2004-08-05,3.95,improve,improve,1.0
2004-09-15,3.875,improve,no_change,0.0
2004-11-03,3.675,improve,improve,1.0
2004-12-08,3.875,improve,improve,1.0
2005-01-26,3.85,improve,improve,1.0
2005-03-16,3.875,improve,no_change,0.0
2005-04-28,3.625,improve,no_change,0.0
2005-06-22,3.6,improve,no_change,0.0
2005-08-04,3.3,improve,improve,1.0
2005-09-14,3.625,improve,improve,1.0
2005-10-26,3.3,improve,improve,1.0
2005-12-07,3.45,improve,no_change,0.0
2006-01-25,3.425,improve,no_change,0.0
2006-03-22,3.425,improve,improve,1.0
2006-05-03,3.075,improve,improve,1.0
2006-06-21,2.675,improve,improve,1.0
2006-08-03,2.225,improve,improve,1.0
2006-09-13,1.925,improve,improve,1.0
2006-10-18,2.175,improve,improve,1.0
2006-12-06,2.175,improve,no_change,0.0
2007-01-24,2.425,improve,improve,1.0
2007-03-14,2.3,improve,no_change,0.0
2007-05-02,2.225,improve,no_change,0.0
2007-06-20,2.425,improve,no_change,0.0
2007-08-02,1.825,improve,worsen,0.0
2007-09-12,1.45,improve,worsen,0.0
2007-10-24,1.775,improve,worsen,0.0
2007-12-05,1.325,improve,worsen,0.0
2008-01-23,1.775,improve,worsen,0.0
2008-03-13,0.675,no_change,worsen,0.0
2008-04-23,1.675,improve,worsen,0.0
2008-06-18,1.375,improve,worsen,0.0
2008-07-30,1.625,improve,worsen,0.0
2008-09-10,1.775,improve,worsen,0.0
2008-10-22,-0.1,no_change,worsen,0.0
2008-12-10,-0.9,no_change,worsen,0.0
2009-01-22,1.2,improve,no_change,0.0
2009-03-12,-0.475,no_change,improve,0.0
2009-04-22,1.5,improve,improve,1.0
2009-06-17,1.85,improve,improve,1.0
2009-08-06,2.65,improve,improve,1.0
2009-09-16,3.25,improve,improve,1.0
2009-10-29,3.45,improve,improve,1.0
2009-12-09,3.625,improve,improve,1.0
2010-01-20,4.0,improve,improve,1.0
2010-03-10,3.725,improve,improve,1.0
2010-04-21,3.925,improve,improve,1.0
2010-06-16,3.175,improve,improve,1.0
2010-08-04,3.225,improve,improve,1.0
2010-09-15,2.9,improve,improve,1.0
2010-10-27,3.625,improve,improve,1.0
2010-12-08,3.725,improve,improve,1.0
2011-01-19,4.0,improve,improve,1.0
2011-03-09,3.975,improve,improve,1.0
2011-04-20,4.025,improve,improve,1.0
2011-06-15,3.3,improve,improve,1.0
2011-08-03,2.725,improve,no_change,0.0
2011-09-14,2.3,improve,no_change,0.0
2011-10-26,2.55,improve,no_change,0.0
2011-12-07,2.35,improve,no_change,0.0
2012-01-18,2.225,improve,no_change,0.0
2012-03-07,2.5,improve,improve,1.0
2012-04-18,2.625,improve,no_change,0.0
