claim_id,date,quote,vincent_is_prediction,claude_is_prediction,agree,claude_reason
1137,1905-12-06,I trust that the congress will make its appropriations for Indian day schools and Held matrons as generous as may consist with the other pressing demands upon its providence.,No,no,yes,"Forward-looking, but about a school appropriation. Not a claim about economic CONDITIONS."
961,1958-01-28,"The shortage is indicated in a recent estimate of road costs through 1971 made by the Highway Department, he told the Washington Board of Trade's business outlook con ference at the Willard Hotel.",No,no,yes,"Projects a highway funding shortfall. 'business outlook conference' is the VENUE, not the subject."
645,1945-09-27,A complete analytical program to give business and government current Information on the economic situation and business outlook.,No,no,yes,Describes an information program. Asserts nothing about the future.
1210,1925-07-23,The John DbWer Lumber Company is thankful for f the rosy business outlook and desires to state that this yard will .be in the best of shape to serve its customers during the coming busyseason.,Yes,no,NO,"ADVERTISEMENT. Lumber-yard promo copy. 'rosy business outlook' is sales talk, not a forecast the paper is making."
1276,1956-04-23,Tool and Dye Makers Here For Quarterly Session High optimism for the business outlook for the next six months to a year was expressed today by a spokesman for the 200 tool and dye shop owners who are meeting in quarterly board ses sion today at the Hotel Statler.,Yes,yes,yes,Textbook: 'high optimism for the business outlook for the next six months to a year.' Direction + explicit horizon.
991,1958-02-27,He spoke on the general business outlook and company promotional plans.,No,no,yes,Reports that a talk happened. No content.
50,1908-04-05,"We are glad of last yeer, shows that we are prosperin face of a poorer business outlook than respectful citizens has begun, in the This building enterprise wich our most boom wich Bingville has ahead of it.",Yes,no,NO,OCR is too corrupted to establish what is being claimed.
1199,1925-10-03,gMN$MH\u00abIIIHIillllllllllHIIIHIIIIIHII||i I tattaMtil Trvit Cmmrv Capital Owe Million Dollar* I IM A N Mraato waaaaaaota t Itiliifiittii\u00bb BUSINESS Outlook for the Fall and Winter Months in Washington A Daily Interview With Prominent Bankers and Business Men I Richard Hatton Ogg ABI A.,No,no,yes,OCR garbage.
972,1957-12-15,"E9 mjmfM tfl New York State I HHH CHAMPAGNE g ri/n 1.99 our low price 5.97 tor 3 Fifth* I^l K, Your Dollar Ditcount fj Hi \u25a0Wfl/tJ JlihtauJl JM Thu i* ell y\u00abu gey ter 3 LdJ beltlu el Andrt' Dupr* This Sale Applies to Every Bottle in Our Store RHF23I2 WISCONSIN used during n business outlook r wind up next year with better sales showings than In pros perous 1967\u2014though with de clining profits In msny cases and tougher competition in all cases.",Yes,no,NO,ADVERTISEMENT. Champagne price list. No economic forecast at all.
470,1937-10-21,"If there Is business recession and un employment sufficiently marked to have political effects, and if President Roosevelt is reproached for having failed to bring dependable recovery, what will be his attitude?",No,no,yes,"Double conditional ('if there is recession... and if Roosevelt is reproached') and the payoff is POLITICAL, not economic."
45,1907-10-17,"What are they doing to rem edy any of the evils they complain of The prices of the metals are of course, beyond their control, but they could at least help to publish abroad the fact that they are much higher than any body expected a few years ago; are not likely to go lower and will probably go much j higher again.",Yes,no,NO,Complains about metal prices being beyond control. No directional claim about the future.
1082,1905-09-28,"Light, easily di gested food, avoidance of highly spiced and seasoned dishes, pickles and pastry, the substitution of milk or cocoa for tea, coffee and alcoholic drinks, with fresh air and exercise, will do much toward promoting a clear skin and maintaining a look of youthfulness.",No,no,yes,Diet advice.
324,1930-09-28,"The na tional bank, trust company, savings bank, clearing house and many other \u25a0actions will also hold important group meetings, at which their particular problems will be considered.",No,no,yes,Meeting announcement.
1104,1905-08-20,PAWN B R OKING HAWAII Uncle Isaac Talks About the Business Outlook.,No,no,yes,Headline announcing a talk. No content.
1254,1955-10-03,"Another feather was placed in labor\u2019s cap recently by the economic outlook, monthly publication of CIO Re search Department, when it checked into the little-publicized factors which hold up the American economy.",No,no,yes,Describes a CIO publication. No forecast.
245,1920-07-23,"Steel Corpora tion Gives His Views on Business Outlook Generally By Associated Press New York-, July 22.\u2014Prohibition has been beneficial to the nation's indus trial and economic life, in the opinion of Elbert H.",No,no,yes,'Prohibition has been beneficial' - retrospective.
590,1945-11-23,"It takes discouragement from the belief that employers are holding back on opening up new jobs until government wage and price policies are settled, that strikes will increase, that wage cuts will reduce purchasing pow er, and that everyone will hang onto his savings for food and shelter instead of spending for new autos, refrigerators and such things, to create a postwar boom.",Yes,yes,yes,Implies employers resume hiring once wage/price policy settles - a forward claim about employment. Weak but real.
66,1907-11-02,There is nothing whatever in the business outlook and financial condi tions of the country to cause uneasi ness to any man who is engaged in a legitimate and honest occupation.,Yes,yes,yes,'nothing whatever in the business outlook to cause uneasiness' - assertive reassurance = improve.
338,1930-06-07,"of New Orleans, who will speak on \""The Business Outlook,\"" and Dr.",No,no,yes,Announces a speaker.
715,1945-10-04,That will tend to increase civilian sup plies as well as permit better dis tribution.,Yes,yes,yes,'That will tend to increase civilian supplies' - forward-looking causal claim.
10,1907-12-14,The Democratic administration and the Democratic Congress followed the course marked out for them by the representatives of the same interests that have just unloaded a panic on the country and ignored the financial and business demands of the constitu ency of expectant millions that had placed them in power.,No,no,yes,Political retrospective.
745,1945-11-24,"If our reduc tion in armed forces goes as per schedule, this item adds up to more than $2,000,000,000 in the next year.",No,no,yes,Conditional budget arithmetic ('if our reduction goes as per schedule').
41,1908-01-19,"Kann, Sons Co., in the business outlook for 19% was rointed out by Louis Kaun yesterday when, in answer to the reporter's query he said that the firm was commencing to add an .additional story to a large section of the building.",No,no,yes,Truncated mid-sentence; the actual claim is cut off.
1048,1958-04-18,Slichter aald hli gueu u that the first phaaa of eco nomic recovery will atart in thla second quarter 0f'1668.,No,YES,NO,"EXPLICIT FORECAST. Named expert (Slichter), direction (recovery), dated horizon (Q2 1958). This is exactly the claim the study exists to score."
384,1930-10-24,A new slogan will be launched at the convention by Mrs.,No,no,yes,Slogan launch.
1216,1926-01-01,"OFFERS OPPORTUNITY FOR AMBITIOUS MEN San Antonio, ns well as all of Southwest Texas, is in the midst of an era of progress and development which has never before been equaled, and the business outlook is good.",Yes,no,NO,"'is in the midst of an era of progress' - PRESENT tense boosterism, not a forecast."
571,1938-01-28,\u2014It is too early yet to say when the business recession will be over.,No,no,yes,Explicitly REFUSES to forecast: 'too early yet to say when the recession will be over.' Correctly excluded.
992,1958-05-10,the great majority of his Busi- j ness Advisory Council seem to feel the recession has gone about as deep as it will go.,Yes,yes,yes,'the recession has gone about as deep as it will go' - predicts the trough.
217,1921-01-01,"j, We share none of the pessimism felt by some with regard to the business outlook in 1921.",No,YES,NO,"EDITORIAL FORECAST. 'We share none of the pessimism... with regard to the business outlook in 1921.' The paper's own voice, direction=improve, horizon=1921."
1221,1926-01-28,"{""/service/ndnp/au/batch_au_ikenberry_ver01/data/sn84020645/00517018119/1926012801/0421.xml"":{""full_text"":""Roads In Hands of Receiver See Bright Ray In Return of Prosperity ONLY FIVE PLACED Increased Traffic i4 Expected to Result in Routing of Heavier Volume of Freight Over Lines WASHINGTON, D.",Yes,no,NO,Raw JSON/XML metadata blob. Not gradeable text.
1072,1906-03-31,"Manhattan is the choice at present, the wonderful surface showings having set the investor, from the dollar to ijje thousand-dollar man or woman, wild, and should the development work this summer show up as great mineral de posits as were encountered near the surface, there is no telling where this campaign will end.",No,no,yes,Describes present mining speculation.
1219,1926-04-08,"The seventh and eighth grades will take their final examinations on Thursday and Friday, of this week.",No,no,yes,School exams.
600,1945-10-14,Only action will change the shape of a shadow.,No,no,yes,Aphorism.
943,1958-04-15,"fears are leading to actions that figure to have a major impact in the West, next year if not this.",No,no,yes,"Vague; about 'actions', not economic direction."
1289,1955-09-27,This is a permanent position and I will pay according to ability.,No,no,yes,Job advertisement.
406,1930-09-19,"An early conference will be held be tween officials of the Bureau of Inter nal Revenue and Treasury Department to discuss the advisability of publishing immediately the new standard rate of depreciation for all machinery, includ ing farm implements, which will hence forth be used as a base in computation of taxes.",No,no,yes,Conference announcement.
1226,1926-01-15,"It seems self evident that if Putnam is to secure the necessary new indus tries to bring a return of prosperity something must be done to reduce the tax rate, and the logical way to reduce the rate under existing conditions, and a way that will not increase the burden of honest taxpayers, is to in crease the grand list by imposing a one hundred per cent valuation and equalizing ull property in the town on a hundred per cent basis.",No,no,yes,"CONDITIONAL + prescriptive: 'IF Putnam is to secure new industries... something must be done.' An argument, not a forecast."
504,1937-11-18,the officials concerned will be unlike most other human beings.,No,no,yes,Sentence fragment.
1040,1957-12-20,"at hospital* but hi* recovery will be slow from what has been described aa one of the moat \""vicious climes'' I !>erpetrated by the Klan While all alx of his attacker* have been art anted and are expert *d to receive severe penalties Aarri's plight ha* suggested this avenue of service to the Binning ham Brotherhood at Clergy which 1 will ad a* trustees of the Con- ai ience Fund The Interracial Brotherhood I* k:J) r\u2019 rvvw nwwvvwi Christmas Groetings From LE ROY CREDIT JEWELERS 509 Hennepin Ave.",No,no,yes,"'his recovery will be slow' - a PERSON's medical recovery, not the economy."
593,1945-08-21,"This does not imply that veterans in general will use these benefits as a type of unemployment compensation or bonus but rather that, in the absence of remunerative employment, undoubtedly more vet erans would apply for education or training benefits.",No,no,yes,About how veterans use benefits.
86,1908-03-02,The operation of the law will mean the employment by railroad companies of several thousand additional opera tors and the closing of a large number of small stations on the fourth of March.,Yes,yes,yes,"Predicts the law will cause railroads to employ several thousand additional operators. Employment, forward-looking."
815,1948-12-31,"Certainly, the administration will not sit idly by while business re cedes without blaming somebody for It, and the last people in the world to be blamed will be the legislators who will have tampered with the economic system at a very critical time.",No,no,yes,About political blame-assignment; presupposes recession rather than forecasting it.
307,1929-11-19,"Reserve Board Meeting Meantime, the Federal Reserve Board was in session with its ad visory council of bankers from all parts of the country who will confer with President Hoover this after noon in the second of the series of heart-to-heart talks with business groups which Hoover has scheduled.",No,no,yes,Describes a meeting.
1263,1956-02-13,"'l'bemss are confident that _ _MONDAY TUESDAY, FEB 13, 14, 1956 the business outlook for the Is lsnds is good.",Yes,yes,yes,'confident that the business outlook for the Islands is good.'
875,1949-04-28,"Another, from a publishing house which issues mag azines dealing with industrial ques tions, said that he doesn\u2019t fear a ser lous downturn is coming, and warn ed against raising taxes.",Yes,yes,yes,"'doesn't fear a serious downturn is coming' - directional (improve), hedged."
201,1921-01-03,I BUSINESS OUTLOOK FINE SAYS PRESIDENT STANDARD OIL CO.,Yes,yes,yes,'BUSINESS OUTLOOK FINE SAYS PRESIDENT STANDARD OIL CO.'
867,1949-06-20,He said that the downward trend will continue until the last quar ter- of \u201950 when production will be 15 per cent below the \u201948 average.,No,YES,NO,"THE MOST EXPLICIT CLAIM IN THE SAMPLE. Direction (downward trend continues), dated horizon (through Q4 1950), and a MAGNITUDE (15% below 1948 average). Excluding this guts the dataset."
996,1958-04-03,"They feel that even if the business outlook im proves later in the year, the upswing may come too late to offset bad effects on their party\u2019s popularity before the November balloting.",No,no,yes,"Conditional, and the payoff is party popularity - political, not economic."
1074,1905-08-28,King Leopold will receive the^ mem bers of the congress at the royal pal oce at 4 o'clock tomorrow afternoon.,No,no,yes,King Leopold's reception.
515,1938-01-10,"{""/service/ndnp/dlc/batch_dlc_bullock_ver01/data/sn82016181/00516999627/1938011001/0241.xml"":{""full_text"":""Local Business Tax Biggest Cloud on 1938 s Horizon The new year has rung up the curtain on a Washing ton business outlook as fair as Little Eva and with the municipal tax tangle the only real villain in the piece.",No,no,yes,JSON blob.
139,1921-01-01,1.\u2014Prosperity like the (lowers ot the song will bloom In the spring.,Yes,yes,yes,"'Prosperity... will bloom in the spring' - metaphorical, but direction=improve with a horizon."
311,1930-12-28,Crawford will open his program with selections from \u201cCaval leria Rusticana\u201d and follow with a med ley of popular songs.,No,no,yes,Music program.
476,1938-02-11,The Council will either sus tain the suspension or order the chief reinstated.,No,no,yes,Council procedural decision.
845,1949-01-28,Without a market bu siness will curtail activities\u2014and probably some will then blame the curtailment on government restrictions.,No,borderline-yes,NO,"'business will curtail activities' is a real forecast, but gated on 'without a market'. Conditional - defensible either way. FLAG."
1124,1905-10-18,"From a business outlook, clients tee a lawyer tor the best petition that he can present to the court, and nothing else is satisfactory.",No,no,yes,"'From a business outlook, clients see a lawyer' - different sense of the word 'outlook'."
1235,1956-05-18,What will happen in the steel industry be fore many weeks shall go by is.,No,no,yes,Truncated: 'What will happen in the steel industry... is.' The claim itself is missing.
1237,1956-05-18,The outlook is the same in the farm imple ment industry.,No,no,yes,'The outlook is the same' - direction depends on a prior sentence we don't have.
13,1908-01-16,"O'Neill, superintendent of the Rosebud Extension and the Saw Tooth Galena King Mining companies, was in the city yesterday, and will leave for -Rosebud this morning.",No,no,yes,A person travelling.
223,1920-06-30,"Until this uncertainty is dissipated, at least in part, business will lack confidence.",No,borderline-yes,NO,"'business will lack confidence' is a forecast of continued weakness, but gated on 'until this uncertainty is dissipated'. Conditional. FLAG."
1094,1905-10-12,"The business outlook for the country seems to me encour aging, though I do not like the return of the spirit of speculation.",No,YES,NO,"QUOTED FORECAST. 'The business outlook for the country seems to me encouraging.' Direction=improve, hedged."
455,1937-12-03,"The federation cannot and will not endorse the bill until it has been changed or amended to preserve its fundamental objectives, without pos sibility of distortion, as the construc tive force contemplated by President Roosevelt's message of May 24, 1937.",No,no,yes,About endorsing a bill.
82,1908-05-12,"Wilkinson, a well known citizen, had died and left $6,000 to John Tarleton college This amount Is set aside In his will and will be allowed to go to the college.",No,no,yes,"'his will and will be allowed' - 'will' as a NOUN (a bequest). Nice trap, correctly rejected."
862,1949-05-04,"He added that it will bring \u201cover due relief to millions of consum er, Earl O.",Yes,yes,yes,"'it will bring overdue relief to millions of consumers' - forward-looking, prices."
556,1938-01-31,Politics has become the dominating fac tor in the business situation and the business outlook.,No,no,yes,'Politics HAS BECOME the dominating factor' - present tense.
