episode,n,hit_rate,brier,composite_score,share_predicting_improve,hit_rate_ci_lo,hit_rate_ci_hi,naive_rate,skill_pts
1905 Calm (control),26,0.654,0.253,0.288,0.692,0.462,0.806,0.962,-0.308
1907 Panic,129,0.86,0.13,0.381,0.907,0.79,0.91,0.915,-0.054
1920 Depression,242,0.475,0.392,0.247,0.802,0.413,0.538,0.457,0.013
1925 Calm (control),33,0.848,0.153,0.446,0.909,0.691,0.933,0.938,-0.062
1929 Crash,188,0.106,0.599,0.176,0.824,0.07,0.159,0.0,0.1
1937 Recession,123,0.472,0.38,0.326,0.675,0.386,0.559,0.697,-0.221
1945 Reconversion,141,0.582,0.303,0.307,0.546,0.499,0.66,0.722,-0.078
1948 Recession,106,0.491,0.376,0.279,0.472,0.397,0.584,0.621,-0.147
1955 Calm (control),45,0.533,0.351,0.406,0.733,0.391,0.671,0.738,-0.167
1957 Recession,137,0.591,0.311,0.342,0.54,0.508,0.67,0.912,-0.281
1965 Calm (control),35,0.743,0.207,0.451,0.743,0.579,0.858,1.0,-0.235
1973 Oil Shock,66,0.47,0.342,0.381,0.303,0.354,0.588,0.0,0.44
1980 Recession,28,0.393,0.396,0.302,0.25,0.236,0.576,0.375,0.042
1987 Crash,14,0.5,0.296,0.222,0.571,0.268,0.732,0.833,-0.333
1990 Recession,10,0.2,0.498,0.156,0.3,0.057,0.51,0.0,0.2
1995 Calm (control),15,0.333,0.394,0.252,0.267,0.152,0.583,0.786,-0.5
2001 Dot-com Bust,44,0.182,0.521,0.268,0.318,0.095,0.32,0.026,0.079
2005 Calm (control),29,0.138,0.581,0.228,0.31,0.055,0.306,0.409,-0.318
2008 Financial Crisis,17,0.471,0.358,0.206,0.294,0.262,0.69,0.2,0.267
