episode,term,start,end,total_hits,pages_taken
1913 Recession,business depression,1913-06-01,1914-03-31,568,30
1913 Recession,business outlook,1913-06-01,1914-03-31,486,30
1913 Recession,return of prosperity,1913-06-01,1914-03-31,55,30
1923 Recession,business depression,1923-09-01,1924-05-31,234,30
1923 Recession,business outlook,1923-09-01,1924-05-31,281,30
1923 Recession,return of prosperity,1923-09-01,1924-05-31,51,30
1923 Recession,business revival,1923-09-01,1924-05-31,65,30
1926 Recession,business recession,1927-01-01,1927-09-30,11,11
1926 Recession,business outlook,1927-01-01,1927-09-30,128,30
1926 Recession,business revival,1927-01-01,1927-09-30,5,5
