episode,kind,period,n_improve,n_worsen,n,net_optimism
1905 Calm (control),control,1905-06,1,1,2,0.0
1905 Calm (control),control,1905-08,2,0,2,1.0
1905 Calm (control),control,1905-09,2,2,4,0.0
1905 Calm (control),control,1905-10,2,1,3,0.3333333333333333
1905 Calm (control),control,1905-11,1,0,1,1.0
1905 Calm (control),control,1905-12,2,0,2,1.0
1905 Calm (control),control,1906-01,1,4,5,-0.6
1905 Calm (control),control,1906-03,6,0,6,1.0
1905 Calm (control),control,1906-05,1,0,1,1.0
1907 Panic,crisis,1907-10,18,2,20,0.8
1907 Panic,crisis,1907-11,14,0,14,1.0
1907 Panic,crisis,1907-12,9,1,10,0.8
1907 Panic,crisis,1908-01,15,1,16,0.875
1907 Panic,crisis,1908-02,5,0,5,1.0
1907 Panic,crisis,1908-03,23,3,26,0.7692307692307693
1907 Panic,crisis,1908-04,9,1,10,0.8
1907 Panic,crisis,1908-05,15,1,16,0.875
1907 Panic,crisis,1908-06,9,2,11,0.6363636363636364
1920 Depression,crisis,1920-06,3,3,6,0.0
1920 Depression,crisis,1920-07,9,1,10,0.8
1920 Depression,crisis,1920-08,3,2,5,0.2
1920 Depression,crisis,1920-09,13,1,14,0.8571428571428571
1920 Depression,crisis,1920-10,11,6,17,0.29411764705882354
1920 Depression,crisis,1920-11,22,1,23,0.9130434782608695
1920 Depression,crisis,1920-12,31,3,34,0.8235294117647058
1920 Depression,crisis,1921-01,51,5,56,0.8214285714285714
1920 Depression,crisis,1921-02,11,2,13,0.6923076923076923
1920 Depression,crisis,1921-03,40,3,43,0.8604651162790697
1925 Calm (control),control,1925-06,3,0,3,1.0
1925 Calm (control),control,1925-07,4,0,4,1.0
1925 Calm (control),control,1925-08,1,0,1,1.0
1925 Calm (control),control,1925-09,4,0,4,1.0
1925 Calm (control),control,1925-10,3,0,3,1.0
1925 Calm (control),control,1925-11,1,1,2,0.0
1925 Calm (control),control,1925-12,1,0,1,1.0
1925 Calm (control),control,1926-01,4,0,4,1.0
1925 Calm (control),control,1926-03,1,0,1,1.0
1925 Calm (control),control,1926-04,1,0,1,1.0
1925 Calm (control),control,1926-05,7,0,7,1.0
1929 Crash,crisis,1929-11,10,0,10,1.0
1929 Crash,crisis,1929-12,5,0,5,1.0
1929 Crash,crisis,1930-01,14,0,14,1.0
1929 Crash,crisis,1930-02,17,1,18,0.8888888888888888
1929 Crash,crisis,1930-03,5,1,6,0.6666666666666666
1929 Crash,crisis,1930-04,4,3,7,0.14285714285714285
1929 Crash,crisis,1930-05,8,1,9,0.7777777777777778
1929 Crash,crisis,1930-06,5,0,5,1.0
1929 Crash,crisis,1930-07,12,5,17,0.4117647058823529
1929 Crash,crisis,1930-08,4,3,7,0.14285714285714285
1929 Crash,crisis,1930-09,18,0,18,1.0
1929 Crash,crisis,1930-10,15,3,18,0.6666666666666666
1929 Crash,crisis,1930-11,19,1,20,0.9
1929 Crash,crisis,1930-12,19,1,20,0.9
1937 Recession,crisis,1937-09,11,2,13,0.6923076923076923
1937 Recession,crisis,1937-10,6,1,7,0.7142857142857143
1937 Recession,crisis,1937-11,15,12,27,0.1111111111111111
1937 Recession,crisis,1937-12,21,4,25,0.68
1937 Recession,crisis,1938-01,16,9,25,0.28
1937 Recession,crisis,1938-02,8,5,13,0.23076923076923078
1937 Recession,crisis,1938-03,6,1,7,0.7142857142857143
1945 Reconversion,crisis,1945-08,14,13,27,0.037037037037037035
1945 Reconversion,crisis,1945-09,12,2,14,0.7142857142857143
1945 Reconversion,crisis,1945-10,18,8,26,0.38461538461538464
1945 Reconversion,crisis,1945-11,15,4,19,0.5789473684210527
1945 Reconversion,crisis,1945-12,0,1,1,-1.0
1945 Reconversion,crisis,1946-01,5,0,5,1.0
1945 Reconversion,crisis,1946-02,3,2,5,0.2
1945 Reconversion,crisis,1946-03,2,1,3,0.3333333333333333
1945 Reconversion,crisis,1946-04,2,1,3,0.3333333333333333
1945 Reconversion,crisis,1946-05,6,0,6,1.0
1948 Recession,crisis,1948-07,1,1,2,0.0
1948 Recession,crisis,1948-08,2,0,2,1.0
1948 Recession,crisis,1948-10,2,3,5,-0.2
1948 Recession,crisis,1948-11,2,2,4,0.0
1948 Recession,crisis,1948-12,1,6,7,-0.7142857142857143
1948 Recession,crisis,1949-01,4,6,10,-0.2
1948 Recession,crisis,1949-02,5,1,6,0.6666666666666666
1948 Recession,crisis,1949-03,9,7,16,0.125
1948 Recession,crisis,1949-04,7,3,10,0.4
1948 Recession,crisis,1949-05,8,5,13,0.23076923076923078
1948 Recession,crisis,1949-06,9,10,19,-0.05263157894736842
1955 Calm (control),control,1955-07,1,0,1,1.0
1955 Calm (control),control,1955-09,5,1,6,0.6666666666666666
1955 Calm (control),control,1955-10,0,1,1,-1.0
1955 Calm (control),control,1955-11,3,0,3,1.0
1955 Calm (control),control,1955-12,3,0,3,1.0
1955 Calm (control),control,1956-01,13,1,14,0.8571428571428571
1955 Calm (control),control,1956-02,3,1,4,0.5
1955 Calm (control),control,1956-04,1,0,1,1.0
1955 Calm (control),control,1956-05,4,4,8,0.0
1957 Recession,crisis,1957-08,3,2,5,0.2
