congress,chamber,committee,chair_name,chair_party,source_url
108,House,Ways and Means Committee,"Thomas, Bill",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Ways_and_Means
109,House,Ways and Means Committee,"Thomas, Bill",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Ways_and_Means
110,House,Ways and Means Committee,"Rangel, Charles",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Ways_and_Means
111,House,Ways and Means Committee,"Rangel, Charles",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Ways_and_Means
112,House,Ways and Means Committee,"Camp, Dave",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Ways_and_Means
113,House,Ways and Means Committee,"Camp, Dave",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Ways_and_Means
114,House,Ways and Means Committee,"Brady, Kevin",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Ways_and_Means
115,House,Ways and Means Committee,"Brady, Kevin",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Ways_and_Means
116,House,Ways and Means Committee,"Neal, Richard",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Ways_and_Means
117,House,Ways and Means Committee,"Neal, Richard",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Ways_and_Means
118,House,Ways and Means Committee,"Smith, Jason",R,https://waysandmeans.house.gov/chairman-smith-opening-statement-118th-congress-organizational-meeting/
108,House,Judiciary Committee,"Sensenbrenner, James",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Judiciary
109,House,Judiciary Committee,"Sensenbrenner, James",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Judiciary
110,House,Judiciary Committee,"Conyers, John",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Judiciary
111,House,Judiciary Committee,"Conyers, John",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Judiciary
112,House,Judiciary Committee,"Smith, Lamar",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Judiciary
113,House,Judiciary Committee,"Goodlatte, Bob",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Judiciary
114,House,Judiciary Committee,"Goodlatte, Bob",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Judiciary
115,House,Judiciary Committee,"Goodlatte, Bob",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Judiciary
116,House,Judiciary Committee,"Nadler, Jerry",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Judiciary
117,House,Judiciary Committee,"Nadler, Jerry",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Judiciary
118,House,Judiciary Committee,"Jordan, Jim",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Judiciary
108,House,Energy and Commerce Committee,"Tauzin, Billy",R,https://rollcall.com/2003/10/29/barton-in-line-for-energy-gavel/
109,House,Energy and Commerce Committee,"Barton, Joe",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce
110,House,Energy and Commerce Committee,"Dingell, John",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce
111,House,Energy and Commerce Committee,"Waxman, Henry",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce
112,House,Energy and Commerce Committee,"Upton, Fred",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce
113,House,Energy and Commerce Committee,"Upton, Fred",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce
114,House,Energy and Commerce Committee,"Upton, Fred",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce
115,House,Energy and Commerce Committee,"Walden, Greg",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce
116,House,Energy and Commerce Committee,"Pallone, Frank",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce
117,House,Energy and Commerce Committee,"Pallone, Frank",D,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce
118,House,Energy and Commerce Committee,"McMorris Rodgers, Cathy",R,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce
108,Senate,Finance Committee,"Grassley, Chuck",R,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
109,Senate,Finance Committee,"Grassley, Chuck",R,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
110,Senate,Finance Committee,"Baucus, Max",D,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
111,Senate,Finance Committee,"Baucus, Max",D,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
112,Senate,Finance Committee,"Baucus, Max",D,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
113,Senate,Finance Committee,"Baucus, Max",D,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
114,Senate,Finance Committee,"Hatch, Orrin",R,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
115,Senate,Finance Committee,"Hatch, Orrin",R,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
116,Senate,Finance Committee,"Grassley, Chuck",R,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
117,Senate,Finance Committee,"Wyden, Ron",D,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
118,Senate,Finance Committee,"Wyden, Ron",D,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Finance
108,Senate,"Health, Education, Labor, and Pensions Committee","Gregg, Judd",R,"https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Health,_Education,_Labor_and_Pensions"
109,Senate,"Health, Education, Labor, and Pensions Committee","Enzi, Mike",R,"https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Health,_Education,_Labor_and_Pensions"
110,Senate,"Health, Education, Labor, and Pensions Committee","Kennedy, Edward",D,"https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Health,_Education,_Labor_and_Pensions"
111,Senate,"Health, Education, Labor, and Pensions Committee","Harkin, Tom",D,"https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Health,_Education,_Labor_and_Pensions"
112,Senate,"Health, Education, Labor, and Pensions Committee","Harkin, Tom",D,"https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Health,_Education,_Labor_and_Pensions"
