feature,drop,sd
x_dir_epu,0.037768208765034506,0.0001016846948914891
x_dir_stock_ret6,0.015541683574703646,0.00020735837730675218
c_topic,0.007250527540605549,0.0005220675013590315
c_direction,0.005398773135105321,0.0001292070826663891
x_dir_sign,0.004593697656117612,0.00020245386705982534
m_unrate,0.001093518869434984,7.968667785629851e-05
has_ip_growth_12m,0.0008305122614556218,0.0002664927667483685
has_ip_accel,0.0004960501052060362,0.00029932480533569007
has_cpi_accel,0.0004760593693978743,0.0001828396316186608
has_epu,0.0,0.0
has_stock_ret6,-1.2856348989879566e-05,0.0002987136051512444
c_horizon,-3.3024459055952526e-05,0.00047313710376203997
has_cpi_yoy,-5.470353502286714e-05,0.00011486019261721414
c_confidence,-7.751255070668576e-05,0.00014733025326945992
c_quoted,-7.774904971724617e-05,0.00012948925359696251
m_ip_growth_6m,-9.682663656807033e-05,7.744700838771242e-05
c_has_number,-0.00022694707828774252,0.0003158229439568719
m_ip_accel,-0.0002722103611397427,0.00016117776521925624
m_cpi_accel,-0.0002964449403038601,0.00018694884328859766
c_len,-0.0003296993289535847,0.0003159049523436886
c_voice,-0.0003560558297957354,0.0003277346745455188
m_ip_growth_12m,-0.0005214868876735427,0.0003301238834638931
has_unrate_d6,-0.0005471470303179219,0.00027622201433670534
c_named,-0.0005676830277338007,0.0003168435510924968
c_scope,-0.0006227872971913037,0.0003280289778206362
has_stock_vol6,-0.0006405115841484251,0.00036281001150246183
x_dir_ip_accel,-0.0007310315804353781,0.00012603348860543414
m_epu,-0.0007368455144446395,7.371527343601127e-05
m_unrate_d6,-0.0007873971779491414,0.00024719434382232386
has_unrate,-0.0008764981801728059,0.0001376466168125399
m_stock_drawdown,-0.0010075777567685924,0.0002052154947239601
m_stock_ret12,-0.001197663836496073,0.0001780303964873179
has_ip_gap,-0.001410539223656378,0.00020065209062316937
has_stock_ret12,-0.0015412640517364167,0.00016182471799203334
m_stock_ret6,-0.0021784712191541913,0.00012186295162756735
m_ip_gap,-0.0024544261479611342,0.0002670069814109343
m_stock_vol6,-0.003108477300463449,0.00028526048491512906
m_cpi_yoy,-0.004372209763322791,0.00028057688416195783
has_stock_drawdown,-0.0059699642314953545,3.0202022645226555e-05
has_ip_growth_6m,-0.0063895528927079654,8.253571856470978e-05
x_dir_stock_drawdown,-0.013089753805186807,0.00037392134304467105
