,coef
c_direction_no_change,-2.0490977660422143
x_dir_epu,1.3772001858631737
x_dir_sign,-0.6500568379430269
m_stock_drawdown,0.6080526791587129
x_dir_stock_ret6,0.6005477135384976
m_unrate,0.5152146684716334
x_dir_ip_accel,0.3426542289241115
m_stock_ret6,-0.333541083635283
has_ip_gap,-0.3190858949369251
has_unrate_d6,-0.3071277548814813
m_ip_gap,-0.3017230755672588
has_stock_vol6,0.288885431507043
has_stock_ret6,0.288885431507043
m_cpi_yoy,-0.23110460318358111
has_ip_growth_6m,-0.19220743801171156
m_stock_vol6,-0.18593705521901846
m_epu,0.152189304381194
has_ip_growth_12m,0.1213160425439036
has_ip_accel,0.1213160425439036
has_cpi_accel,0.09314870001942656
has_cpi_yoy,0.09314870001942656
has_unrate,-0.09177706215985898
m_cpi_accel,0.05107801644665195
c_horizon,0.040391227942465434
x_dir_stock_drawdown,0.038007058845966904
c_confidence_hedged,0.03510071399905651
m_stock_ret12,-0.03331643707000263
c_len,-0.02276279116025326
m_ip_growth_6m,-0.0190577956850193
c_has_number,-0.014025016847006902
c_named,-0.012748095258458486
c_voice_journalist,0.005200032426565669
c_quoted,-0.0029789213953692172
c_confidence_assertive,-2.7463414232510507e-06
