penalty,C,roc_auc,pr_auc,brier,nonzero,n_coef,folds_won,n_folds
l2,0.005,0.6512349682707015,0.6618825666114879,0.23407029906623483,55,56,10,22
l2,0.01,0.6530779656433946,0.6640318034618902,0.2344132613946991,55,56,12,22
l2,0.02,0.6536601276661075,0.6644821139648629,0.2351449684567401,55,56,11,22
l2,0.05,0.653242982828004,0.6635297929038652,0.2365290535908878,55,56,10,22
l2,0.1,0.6521653553781944,0.6618671384023729,0.23766361118947577,55,56,10,22
l2,0.5,0.6468819477743175,0.6522362258295378,0.24111481677807556,55,56,0,22
l2,1.0,0.6446419473959193,0.6483014777375375,0.24247852888972818,55,56,10,22
l1,0.005,0.6549645872294081,0.6451980243366306,0.23187633058174692,12,56,10,22
l1,0.01,0.6511949703755426,0.6533310896675885,0.2335474722000165,17,56,11,22
l1,0.02,0.6561610948485195,0.6598124277022581,0.23289413356368024,24,56,9,22
l1,0.05,0.6571516216835694,0.6640165551944718,0.2336586857805749,31,56,11,22
l1,0.1,0.6559719350565834,0.6649879959210173,0.23467479046702594,40,56,11,22
l1,0.5,0.6484096919659513,0.6535422849954231,0.24019229141527332,44,56,16,22
l1,1.0,0.64525343529594,0.6481847365618334,0.2421097104302469,46,56,14,22
elasticnet,0.005,0.6547432635720377,0.6554039413118566,0.23213849678335594,17,56,11,22
elasticnet,0.01,0.6538312839708657,0.658165643953839,0.2331848017526903,25,56,10,22
elasticnet,0.02,0.6556649691950185,0.6619497255657093,0.23346914450606832,31,56,11,22
elasticnet,0.05,0.6557904614824901,0.6648267817617345,0.23439661249043803,40,56,10,22
elasticnet,0.1,0.6546851143778194,0.6638862353692374,0.23596137612668014,42,56,13,22
elasticnet,0.5,0.6476399073948708,0.652847356065527,0.2406266492100987,46,56,13,22
elasticnet,1.0,0.644897740784077,0.6481532917016536,0.24231888258770573,48,56,11,22
