factor,column,levels,spread_pts,weighted_sd_pts,insample_auc,oof_auc
what was predicted,predicted_norm,5,40.31505301881714,12.496086747941517,0.6205370222448998,0.5142147040500654
newspaper,_pub,20,29.399699165869002,3.1909875176557594,0.5269258262240746,0.42666758901280777
subject of the forecast,topic,5,23.37589095960455,6.391071043067269,0.5641284213277173,0.5003116170087724
era (decade printed),decade,7,6.117110412458299,2.0661986242150028,0.5229541209656964,0.41107339608834575
conditional ('if...'),_conditional,2,3.8555557350202885,1.5556126431742276,0.5125610142811898,0.42825920764554004
horizon,_horizon_b,3,2.4124080060526856,0.8117146462038554,0.505777789077175,0.40908063571722364
who is speaking,voice,5,2.4120113826030467,1.0142158069454752,0.5108278904071468,0.43339395591303703
hedged vs assertive,confidence,2,2.0269511510387472,0.9813623256620774,0.5095087679051923,0.4297296008271158
quotes a forecaster,is_quoted_forecaster,2,1.409314088788971,0.7034464370779631,0.5070268881637566,0.4281885831285154
named forecaster,_named,2,1.3141448034237335,0.6558943072334731,0.5065513871948005,0.42572454920825054
