_m,n_all,imp,wor,n_dir,disag_A,disag_B
1900-01,10,6,4,10,0.8,0.8
1900-02,12,7,5,12,0.8333333333333333,0.8333333333333333
1900-03,21,18,2,20,0.2857142857142858,0.19999999999999996
1900-04,11,11,0,11,0.0,0.0
1900-05,23,15,6,21,0.6956521739130435,0.5714285714285714
1900-06,18,10,8,18,0.8888888888888888,0.8888888888888888
1900-07,10,6,4,10,0.8,0.8
1900-08,20,15,5,20,0.5,0.5
1900-09,16,8,7,15,1.0,0.9333333333333333
1900-10,14,6,8,14,0.8571428571428571,0.8571428571428571
1900-11,26,5,21,26,0.3846153846153846,0.3846153846153846
1900-12,16,15,1,16,0.125,0.125
1901-01,15,12,3,15,0.3999999999999999,0.3999999999999999
1901-02,16,7,9,16,0.875,0.875
1901-03,23,20,3,23,0.26086956521739135,0.26086956521739135
1901-04,13,11,2,13,0.3076923076923077,0.3076923076923077
1901-05,17,9,7,16,0.9411764705882353,0.875
1901-06,23,17,5,22,0.5217391304347827,0.4545454545454546
1901-07,16,7,9,16,0.875,0.875
1901-08,11,5,6,11,0.9090909090909091,0.9090909090909091
1901-09,21,12,9,21,0.8571428571428572,0.8571428571428572
1901-10,18,15,3,18,0.33333333333333326,0.33333333333333326
1901-11,18,13,4,17,0.5555555555555556,0.47058823529411775
1901-12,16,12,2,14,0.5,0.2857142857142858
1902-01,26,18,8,26,0.6153846153846154,0.6153846153846154
1902-02,8,6,1,7,0.5,0.2857142857142858
1902-03,9,7,2,9,0.4444444444444444,0.4444444444444444
1902-04,12,11,1,12,0.16666666666666674,0.16666666666666674
1902-05,11,9,2,11,0.36363636363636354,0.36363636363636354
1902-06,22,17,5,22,0.4545454545454546,0.4545454545454546
1902-07,23,19,4,23,0.34782608695652173,0.34782608695652173
1902-08,14,12,2,14,0.2857142857142858,0.2857142857142858
1902-09,12,8,3,11,0.6666666666666667,0.5454545454545454
1902-10,18,12,6,18,0.6666666666666667,0.6666666666666667
1902-11,10,7,2,9,0.6000000000000001,0.4444444444444444
1902-12,23,17,5,22,0.5217391304347827,0.4545454545454546
1903-01,17,16,1,17,0.11764705882352944,0.11764705882352944
1903-02,26,22,4,26,0.3076923076923077,0.3076923076923077
1903-03,15,8,6,14,0.9333333333333333,0.8571428571428572
1903-04,11,10,1,11,0.18181818181818188,0.18181818181818188
1903-05,14,11,2,13,0.4285714285714286,0.3076923076923077
1903-06,12,9,3,12,0.5,0.5
