peak,window,n,share_improve
1902-09,6mo before peak,94,0.8297872340425532
1902-09,3mo before peak,60,0.8333333333333334
1902-09,peak month,11,0.7272727272727273
1907-05,6mo before peak,131,0.7404580152671756
1907-05,3mo before peak,67,0.6567164179104478
1907-05,peak month,21,0.5714285714285714
1910-01,6mo before peak,114,0.7456140350877193
1910-01,3mo before peak,51,0.7254901960784313
1910-01,peak month,17,0.8823529411764706
1913-01,6mo before peak,145,0.8344827586206897
1913-01,3mo before peak,83,0.7710843373493976
1913-01,peak month,17,0.9411764705882353
1918-08,6mo before peak,90,0.8222222222222222
1918-08,3mo before peak,50,0.76
1918-08,peak month,10,0.5
1920-01,6mo before peak,105,0.6190476190476191
1920-01,3mo before peak,55,0.6181818181818182
1920-01,peak month,26,0.46153846153846156
1923-05,6mo before peak,142,0.8591549295774648
1923-05,3mo before peak,74,0.8513513513513513
1923-05,peak month,24,0.75
1926-10,6mo before peak,123,0.8292682926829268
1926-10,3mo before peak,60,0.8333333333333334
1926-10,peak month,16,0.5625
1929-08,6mo before peak,85,0.7411764705882353
1929-08,3mo before peak,39,0.7948717948717948
1929-08,peak month,13,0.8461538461538461
1937-05,6mo before peak,107,0.8504672897196262
1937-05,3mo before peak,40,0.85
1937-05,peak month,15,0.9333333333333333
1945-02,6mo before peak,62,0.5
1945-02,3mo before peak,49,0.42857142857142855
1945-02,peak month,1,1.0
1948-11,6mo before peak,15,0.6
1948-11,3mo before peak,6,0.8333333333333334
1948-11,peak month,6,0.6666666666666666
1953-07,6mo before peak,64,0.625
1953-07,3mo before peak,17,0.5294117647058824
1953-07,peak month,4,0.75
1957-08,6mo before peak,43,0.7674418604651163
1957-08,3mo before peak,24,0.875
1957-08,peak month,8,0.875
1960-04,6mo before peak,42,0.7619047619047619
1960-04,3mo before peak,27,0.8888888888888888
1960-04,peak month,14,0.9285714285714286
