decade,direction,n,hit_rate,base_rate
1910,up,250,0.852,0.8672768878718535
1910,down,153,0.006535947712418301,0.013729977116704805
1920,up,309,0.2686084142394822,0.2077922077922078
1920,down,250,0.476,0.4074675324675325
1930,up,318,0.3113207547169811,0.29320388349514565
1930,down,158,0.4430379746835443,0.37087378640776697
1940,up,234,0.8247863247863247,0.7857142857142857
1940,down,128,0.0703125,0.046798029556650245
1950,up,122,0.5737704918032787,0.4956521739130435
1950,down,71,0.0,0.0
1960,up,43,0.2558139534883721,0.2112676056338028
1960,down,22,0.0,0.0
