publisher,n,actual,expected,p_improve,y0,y1,skill,se,z
"the milwaukee leader (milwaukee, wis.) 1911-1938",142,0.36619718309859156,0.4023402793806373,0.6338028169014085,1912,1932,-0.03614309628204576,0.04115092275320784,-0.8783058523087017
"milford chronicle (milford, del.) 1878-1974",167,0.437125748502994,0.45120417815010216,0.46706586826347307,1904,1963,-0.014078429647108148,0.03850647101462244,-0.36561204587566615
new-york tribune (new york [n.y.]) 1866-1924,534,0.4419475655430712,0.436559552863414,0.6872659176029963,1900,1922,0.0053880126796571615,0.021462244074768256,0.25104610034658453
the washington times (washington [d.c.]) 1902-1939,1040,0.4653846153846154,0.47165530673924,0.6653846153846154,1903,1939,-0.006270691354624602,0.015479408728395426,-0.40509889393395543
"the tri-county news (grand rapids, ohio) 1915-1949",145,0.4827586206896552,0.48728135675323325,0.4689655172413793,1919,1938,-0.004522736063578059,0.04150930399353042,-0.10895716450179375
"the montgomery advertiser (montgomery, ala.) 1885-1982",118,0.4915254237288136,0.5520134740383769,0.6864406779661016,1901,1927,-0.06048805030956328,0.04577900104411531,-1.3213055971071426
"the washington herald (washington, d.c.) 1906-1939",212,0.5,0.49654191979562556,0.6698113207547169,1906,1922,0.0034580802043744363,0.034339319676650396,0.10070322408646368
"montgomery county sentinel (rockville, md.) 1855-1974",109,0.5045871559633027,0.4786226142138817,0.43119266055045874,1926,1962,0.025964541749421033,0.04784752228464261,0.5426517510135472
"south bend news-times (south bend, ind.) 1913-1938",156,0.5128205128205128,0.4522289779647474,0.5576923076923077,1916,1931,0.06059153485576535,0.0398489077041777,1.520531887738871
"evening star (washington, d.c.) 1854-1972",3728,0.516362660944206,0.5127432488717651,0.6115879828326181,1900,1963,0.003619412072440875,0.008186362206893548,0.4421270377449279
"san antonio light (san antonio, tex.) 1911-1993",114,0.5175438596491229,0.5976193003840126,0.5964912280701754,1923,1937,-0.0800754407348897,0.045928097140552966,-1.7434957187500324
the indianapolis times (indianapolis [ind.]) 1922-1965,110,0.5181818181818182,0.5066015948187637,0.6272727272727273,1923,1936,0.011580223363054531,0.047668973990698596,0.242929989752121
"the key west citizen (key west, fla.) 1879-current",197,0.5431472081218274,0.5424702428650372,0.6192893401015228,1932,1963,0.000676965256790174,0.0354947825200709,0.01907224692551298
"springfield weekly republican (springfield, mass.) 1851-1946",311,0.5434083601286174,0.5522612217407417,0.5498392282958199,1900,1946,-0.008852861612124285,0.028197099386875382,-0.3139635566999114
"the washington daily news (washington, d.c.) 1921-1972",259,0.555984555984556,0.5538266220670643,0.6254826254826255,1922,1945,0.002157933917491639,0.030887933866166156,0.06986333002530104
"the birmingham age-herald (birmingham, ala.) 1902-1950",298,0.5637583892617449,0.5511065602502712,0.7080536912751678,1902,1925,0.01265182901147377,0.02881252288207599,0.4391086842084335
"gadsden county times (quincy, fla.) 190?-current",122,0.5655737704918032,0.5190900471302659,0.5655737704918032,1931,1963,0.04648372336153739,0.04523486705568624,1.027608267408275
"the daily alaska empire (juneau, alaska) 1926-1964",100,0.59,0.542044116783177,0.58,1927,1951,0.04795588321682298,0.04982291563567136,0.9625266326743903
"henderson daily dispatch (henderson, n.c.) 1914-1995",103,0.6601941747572816,0.5646889990912094,0.6796116504854369,1932,1946,0.0955051756660722,0.04885239640916532,1.9549742220660895
