source,forecaster_id,variable_canonical,forecast_date,horizon_native,pred_growth,pred_direction,realized_direction,hit,source_file,variable_native,year
greenbook,fed_staff,general_business,1967-03-29,+1..+4Q,1.0,no_change,improve,0.0,gRGDP_1967_1984.xlsx,gRGDP,1967
greenbook,fed_staff,general_business,1967-04-26,+1..+4Q,4.1,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1967
greenbook,fed_staff,general_business,1967-05-17,+1..+4Q,4.7,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1967
greenbook,fed_staff,general_business,1967-06-14,+1..+4Q,4.5,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1967
greenbook,fed_staff,general_business,1967-07-17,+1..+4Q,,,improve,,gRGDP_1967_1984.xlsx,gRGDP,1967
greenbook,fed_staff,general_business,1967-08-09,+1..+4Q,4.5,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1967
greenbook,fed_staff,general_business,1967-09-07,+1..+4Q,6.4,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1967
greenbook,fed_staff,general_business,1967-09-27,+1..+4Q,6.4,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1967
greenbook,fed_staff,general_business,1967-10-18,+1..+4Q,,,improve,,gRGDP_1967_1984.xlsx,gRGDP,1967
greenbook,fed_staff,general_business,1967-11-08,+1..+4Q,,,improve,,gRGDP_1967_1984.xlsx,gRGDP,1967
greenbook,fed_staff,general_business,1967-12-06,+1..+4Q,6.2,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1967
greenbook,fed_staff,general_business,1968-01-04,+1..+4Q,,,improve,,gRGDP_1967_1984.xlsx,gRGDP,1968
greenbook,fed_staff,general_business,1968-01-31,+1..+4Q,,,improve,,gRGDP_1967_1984.xlsx,gRGDP,1968
greenbook,fed_staff,general_business,1968-02-06,+1..+4Q,3.233333333333333,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1968
greenbook,fed_staff,general_business,1968-02-28,+1..+4Q,5.5,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1968
