forecast_date,forecast_growth,source_file,pred_direction,realized_direction,hit,source,forecaster_id,variable_native,variable_canonical,horizon_native
1967-03-29,1.0,gRGDP_1967_1984.xlsx,no_change,improve,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1967-04-26,4.1,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1967-05-17,4.7,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1967-06-14,4.5,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1967-07-17,,gRGDP_1967_1984.xlsx,,improve,,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1967-08-09,4.5,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1967-09-07,6.4,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1967-09-27,6.4,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1967-10-18,,gRGDP_1967_1984.xlsx,,improve,,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1967-11-08,,gRGDP_1967_1984.xlsx,,improve,,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1967-12-06,6.2,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-01-04,,gRGDP_1967_1984.xlsx,,improve,,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-01-31,,gRGDP_1967_1984.xlsx,,improve,,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-02-06,3.233333333333333,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-02-28,5.5,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-03-27,4.9,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-04-24,,gRGDP_1967_1984.xlsx,,improve,,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-05-22,,gRGDP_1967_1984.xlsx,,improve,,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-06-12,1.8,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-07-10,,gRGDP_1967_1984.xlsx,,improve,,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-08-07,0.8,gRGDP_1967_1984.xlsx,no_change,improve,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-09-04,0.4,gRGDP_1967_1984.xlsx,no_change,improve,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-10-02,,gRGDP_1967_1984.xlsx,,improve,,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-10-23,,gRGDP_1967_1984.xlsx,,improve,,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-11-20,2.45,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1968-12-11,2.55,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-01-08,1.5,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-01-29,1.5,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-02-26,1.8,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-03-26,2.4,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-04-23,1.55,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-05-21,1.5,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-06-18,1.25,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-07-09,0.13333333333333333,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-08-06,0.10000000000000005,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-09-04,0.2333333333333333,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-10-01,-0.2,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-10-22,-0.45,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-11-19,1.175,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1969-12-10,1.225,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-01-07,1.5999999999999999,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-02-04,1.3,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-03-04,1.2666666666666666,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-04-01,2.75,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-04-29,3.65,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-05-20,2.7,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-06-17,2.575,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-07-15,2.8333333333333335,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-08-12,3.0666666666666664,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-09-09,3.0,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-10-14,3.3499999999999996,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-11-11,3.0250000000000004,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1970-12-09,3.575,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-01-06,2.7000000000000006,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-02-03,3.7000000000000006,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-03-03,3.7000000000000006,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-03-31,3.766666666666667,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-04-28,4.2,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-06-02,3.7,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-06-23,4.1,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-07-21,5.233333333333333,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-08-20,6.6,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-09-15,7.066666666666666,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-10-13,7.5,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-11-10,6.25,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1971-12-08,6.475,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-01-07,6.766666666666667,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-02-09,6.433333333333334,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-03-15,6.5,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-04-12,7.15,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-05-17,7.85,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-06-14,7.6,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-07-12,6.075,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-08-09,5.949999999999999,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-09-13,6.4,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-10-11,5.45,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-11-15,5.275,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1972-12-13,5.3500000000000005,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1973-01-10,5.333333333333333,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
