topic,voice,n,hit_rate,ci_lo,ci_hi
employment,expert,82,0.34146341463414637,0.15384615384615385,0.49059913935782834
employment,journalist,50,0.26,0.0,0.46686274509803816
employment,official,35,0.4,0.21041666666666667,0.64
employment,layperson,7,0.2857142857142857,,
general_business,expert,4391,0.5688909132316101,0.4847417831038484,0.6386932528225459
general_business,journalist,2994,0.5507682030728123,0.4835404200651467,0.6144816597572755
general_business,official,1079,0.5514365152919369,0.45992196045132694,0.6309958657035118
general_business,layperson,206,0.5970873786407767,,
general_business,unclear,37,0.6216216216216216,,
general_business,editorial,5,0.4,,
general_business,reporter,1,1.0,,
markets,journalist,1060,0.44056603773584907,0.3864784447951843,0.4934041775499811
markets,expert,925,0.44756756756756755,0.3825588236281481,0.5202914591580878
markets,official,170,0.5,0.38960850196315316,0.6129121368739976
markets,layperson,54,0.48148148148148145,,
markets,unclear,10,0.5,,
other,expert,348,0.5287356321839081,0.4471259040556624,0.611270889586222
other,journalist,325,0.48307692307692307,0.42296047744044374,0.5352123961719032
other,official,156,0.41025641025641024,0.3287671232876712,0.4944174298933057
other,layperson,30,0.23333333333333334,,
other,unclear,10,0.4,,
other,staff writer,1,1.0,,
prices,expert,1080,0.412962962962963,0.3501825842696629,0.47795253048480457
prices,journalist,783,0.4367816091954023,0.3410397964891718,0.5150735542209326
prices,official,346,0.38439306358381503,0.3041932482721957,0.46035825120079843
prices,layperson,54,0.35185185185185186,,
prices,unclear,11,0.2727272727272727,,
prices,reporter,1,1.0,,
