window_id,series,window_start,window_end,pct_change,human1_judgment,human2_judgment
1,INDPRO,2011-07,2012-07,3.42,real_change,
2,CPIAUCNS,1967-05,1968-05,3.92,real_change,
3,CPIAUCNS,1980-12,1981-12,8.92,real_change,
4,INDPRO,1936-04,1937-04,21.57,real_change,
5,INDPRO,2000-04,2001-04,-2.06,unsure,
6,INDPRO,1954-12,1955-12,13.12,real_change,
7,INDPRO,1957-07,1958-07,-8.2,real_change,
8,INDPRO,1996-08,1997-08,7.42,real_change,
9,INDPRO,1985-07,1986-07,1.32,no_change,
10,INDPRO,1958-12,1959-12,8.82,real_change,
11,INDPRO,1984-08,1985-08,0.18,no_change,
12,INDPRO,1965-12,1966-12,6.55,real_change,
13,CPIAUCNS,1954-08,1955-08,-0.37,no_change,
14,INDPRO,1928-07,1929-07,16.6,real_change,
15,INDPRO,2013-05,2014-05,3.23,real_change,
16,CPIAUCNS,1947-08,1948-08,8.89,real_change,
17,CPIAUCNS,1953-08,1954-08,0.0,no_change,
18,CPIAUCNS,1934-01,1935-01,3.03,real_change,
19,CPIAUCNS,2012-05,2013-05,1.36,unsure,
20,CPIAUCNS,1990-07,1991-07,4.45,real_change,
21,INDPRO,1985-03,1986-03,0.18,no_change,
22,CPIAUCNS,1980-09,1981-09,10.95,real_change,
23,INDPRO,2007-04,2008-04,-0.74,no_change,
24,INDPRO,1941-02,1942-02,19.32,real_change,
25,INDPRO,1926-05,1927-05,3.75,real_change,
26,CPIAUCNS,1945-03,1946-03,2.81,real_change,
27,INDPRO,1963-03,1964-03,5.91,real_change,
28,INDPRO,1925-03,1926-03,6.14,real_change,
29,CPIAUCNS,1958-08,1959-08,1.04,unsure,
30,INDPRO,1948-04,1949-04,-3.97,real_change,
31,INDPRO,1943-04,1944-04,11.67,real_change,
32,CPIAUCNS,1953-06,1954-06,0.37,no_change,
33,CPIAUCNS,1930-03,1931-03,-7.69,real_change,
34,INDPRO,1956-05,1957-05,2.53,unsure,
35,CPIAUCNS,2007-05,2008-05,4.18,real_change,
36,CPIAUCNS,1929-06,1930-06,-1.75,real_change,
37,INDPRO,1968-10,1969-10,4.72,real_change,
38,CPIAUCNS,2010-06,2011-06,3.56,real_change,
39,CPIAUCNS,2001-11,2002-11,2.2,real_change,
40,CPIAUCNS,1950-12,1951-12,6.0,real_change,
41,INDPRO,1928-11,1929-11,0.37,no_change,
42,INDPRO,1947-08,1948-08,6.05,real_change,
43,CPIAUCNS,1927-11,1928-11,-0.58,no_change,
44,CPIAUCNS,1976-12,1977-12,6.7,real_change,
45,INDPRO,1950-03,1951-03,19.44,real_change,
46,CPIAUCNS,2015-11,2016-11,1.69,unsure,
47,INDPRO,1991-03,1992-03,3.46,real_change,
48,CPIAUCNS,2017-04,2018-04,2.46,real_change,
49,CPIAUCNS,1983-06,1984-06,4.22,real_change,
50,INDPRO,2019-02,2020-02,-1.42,no_change,
51,CPIAUCNS,2010-12,2011-12,2.96,real_change,
52,CPIAUCNS,1918-01,1919-01,17.86,real_change,
53,CPIAUCNS,1998-04,1999-04,2.28,real_change,
54,CPIAUCNS,1954-07,1955-07,-0.37,no_change,
55,INDPRO,1949-10,1950-10,27.75,real_change,
56,CPIAUCNS,1937-08,1938-08,-2.76,real_change,
57,CPIAUCNS,1962-07,1963-07,1.32,unsure,
58,INDPRO,1995-08,1996-08,4.72,real_change,
59,CPIAUCNS,1922-12,1923-12,2.37,real_change,
60,INDPRO,1992-06,1993-06,2.84,unsure,
61,CPIAUCNS,1999-12,2000-12,3.39,real_change,
62,INDPRO,1934-01,1935-01,15.51,real_change,
63,CPIAUCNS,1997-10,1998-10,1.49,unsure,
64,CPIAUCNS,2011-06,2012-06,1.66,unsure,
65,CPIAUCNS,1936-06,1937-06,4.35,real_change,
66,CPIAUCNS,1917-11,1918-11,20.74,real_change,
67,INDPRO,2014-08,2015-08,-1.69,unsure,
68,CPIAUCNS,1978-07,1979-07,11.26,real_change,
69,INDPRO,1996-10,1997-10,8.65,real_change,
70,INDPRO,1986-04,1987-04,4.05,real_change,
71,CPIAUCNS,1938-05,1939-05,-2.13,real_change,
72,INDPRO,2008-08,2009-08,-11.69,real_change,
73,CPIAUCNS,1947-02,1948-02,9.3,real_change,
74,CPIAUCNS,1995-10,1996-10,2.99,real_change,
75,CPIAUCNS,1922-05,1923-05,1.2,unsure,
76,INDPRO,1940-11,1941-11,23.36,real_change,
77,INDPRO,1965-05,1966-05,9.55,real_change,
78,INDPRO,2007-10,2008-10,-6.95,real_change,
79,INDPRO,2005-11,2006-11,1.66,unsure,
80,INDPRO,2022-05,2023-05,-0.4,no_change,
