Date,RGDPX_BP,RGDPX_ZM,RGDPX_6M,RGDPX_12M,RGDPX_BY,RGDPX_ZY,RGDPX_1Y,RGDPX_2Y,RGDPX_10Y
1946-06-01,,,,,,,,,
1946-12-01,,,,,,,,,
1947-06-01,,,,,,,,,
1947-12-01,,,,,,,,,
1948-06-01,,,,,,,,,
1948-12-01,,,,,,,,,
1949-06-01,,,,,,,,,
1949-12-01,,,,,,,,,
1950-06-01,,,,,,,,,
1950-12-01,,,,,,,,,
1951-06-01,,,,,,,,,
1951-12-01,,,,,,,,,
1952-06-01,,,,,,,,,
1952-12-01,,,,,,,,,
1953-06-01,,,,,,,,,
1953-12-01,,,,,,,,,
1954-06-01,,,,,,,,,
1954-12-01,,,,,,,,,
1955-06-01,,,,,,,,,
1955-12-01,,,,,,,,,
1956-06-01,,,,,,,,,
1956-12-01,,,,,,,,,
1957-06-01,,,,,,,,,
1957-12-01,,,,,,,,,
1958-06-01,,,,,,,,,
1958-12-01,,,,,,,,,
1959-06-01,418.1,,,,395.4,,,,
1959-12-01,441.7,,,,,,,,
1960-06-01,,,,,,,,,
1960-12-01,438.0,,,,,,,,
1961-06-01,432.4,,,,439.2,,,,
1961-12-01,451.8,,,,,,,,
1962-06-01,,,,,448.8,,,,
1962-12-01,471.6,,,,,,,,
1963-06-01,482.7,,,,471.9,,,,
1963-12-01,495.1,,,,,,,,
1964-06-01,506.4,,,,492.9,,,,
1964-12-01,519.6,,,,,,,,
1965-06-01,532.2,,,,516.0,,,,
1965-12-01,609.7,,,,,,,,
1966-06-01,,,,,,,,,
1966-12-01,649.3,,,,,,,,
1967-06-01,656.7,,,,647.8,,,,
1967-12-01,672.0,,,,,,,,
1968-06-01,689.7,,,,669.3,,,,
1968-12-01,712.3,,,,,,,,
1969-06-01,723.5,,,,706.7,,,,
1969-12-01,730.6,,,,,,,,
1970-06-01,724.3,,,,727.5,,,,
1970-12-01,727.4,,,,,,,,
1971-06-01,732.7,,753.0,773.35,724.1,,,,
1971-12-01,745.5,,777.15,798.0,,,782.0,,
1972-06-01,761.0,,798.45,819.0,739.4,780.0,823.4,,
1972-12-01,796.1,,831.0,850.0,741.7,,835.9,,
1973-06-01,827.3,,853.5,863.85,789.5,840.7,866.55,,
1973-12-01,841.3,,846.9,856.5,790.7,,850.0,,
1974-06-01,831.0,,844.7,862.0,837.4,837.0,865.0,,
1974-12-01,822.7,,808.95,824.0,839.22,,814.0,850.0,
1975-06-01,780.2,,798.2,823.0,821.2,787.6,828.0,,
1975-12-01,808.3,,837.0,859.0,821.2,,842.0,883.0,
1976-06-01,1241.2,,1290.0,1324.5,1186.1,1265.0,1332.0,,
1976-12-01,1271.7,,1318.0,1352.9,1191.7,,1328.0,1390.0,
1977-06-01,1300.3,,1353.0,1385.0,1264.7,1328.0,1392.0,,
1977-12-01,1346.1,,1390.0,1416.0,1274.7,,1395.0,1450.0,
1978-06-01,1358.8,,1412.0,1435.0,1337.3,1389.8,1440.0,,
1978-12-01,1394.2,,1417.0,1422.5,1332.7,,1416.0,1451.4,
1979-06-01,1416.3,,1420.0,1429.0,1385.7,1420.0,1440.4,,
1979-12-01,1434.4,,1405.0,1422.0,1399.2,,1413.75,1452.0,
1980-06-01,1426.6,,1398.0,1414.5,1431.6,1415.0,1422.5,,
1980-12-01,1411.7,,1425.0,1448.0,1431.6,,1435.0,1482.0,
1981-06-01,1516.0,,1538.0,1564.5,1480.7,1522.0,1570.0,,
1981-12-01,1512.8,,1500.0,1535.0,1480.7,,1511.5,1573.0,
1982-06-01,1483.6,,1512.0,1533.5,1510.3,1495.0,1544.5,,
1982-12-01,1478.4,,1510.0,1541.0,1502.6,,1517.5,1580.0,
1983-06-01,1486.2,,1544.75,1579.5,1476.9,1518.0,1588.0,,
1983-12-01,1553.6,,1610.0,1640.0,1485.4,,1616.0,1667.5,
1984-06-01,1606.0,,1648.0,1671.0,1535.3,1626.5,1674.0,,
1984-12-01,1646.5,,1682.0,1707.5,1534.7,,1688.55,1732.0,
1985-06-01,1665.4,,1705.0,1729.0,1639.3,1685.0,1734.0,,
1985-12-01,1688.9,,1724.75,1752.5,1639.3,,1731.0,1780.0,
1986-06-01,3623.5,,3714.5,3772.5,3570.0,3669.0,3786.0,,
1986-12-01,3687.3,,3755.0,3810.0,3585.2,,3769.55,3873.0,
