scheme,period,months,onsets,auc
forward-only,1930-1963,303,72,0.6162818662818663
forward-only,1940-1963,236,60,0.7285037878787879
forward-only,1950-1963,137,36,0.7070957095709572
rotating,1900-1907,47,24,0.6539855072463768
rotating,1908-1915,41,23,0.4130434782608696
rotating,1916-1923,61,33,0.9361471861471862
rotating,1924-1931,46,24,0.8428030303030303
rotating,1932-1939,67,12,0.13787878787878788
rotating,1940-1947,87,14,0.805283757338552
rotating,1948-1955,73,22,0.9010695187165775
rotating,1956-1963,76,24,0.5841346153846154
