term,coef,se,z,p,lo95,hi95,odds_ratio
c_direction_no_change,-1.7681214420912315,0.28778371605696884,-6.143924563616446,8.050708988349697e-10,-2.3321775255628903,-1.2040653586195726,0.17065326994782057
c_direction_worsen,-0.5434622405776327,0.2975622865190597,-1.8263814508725467,0.06779282393740771,-1.1266843221549898,0.039759840999724294,0.5807341264343163
c_topic_general_business,0.9174688331227984,0.3180662183896336,2.884521461499227,0.003920090379474495,0.2940590450791165,1.5408786211664802,2.502946988706296
c_topic_markets,0.6134907431599453,0.3292438470561717,1.863332446893924,0.06241550779754612,-0.03182719707015125,1.258808683390042,1.8468670982501632
c_topic_other,0.5957657406412649,0.3107025977978851,1.9174791098103916,0.05517709242365876,-0.01321135104258997,1.2047428323251197,1.814419788117545
c_topic_prices,0.34236366562320547,0.3323661340686914,1.0300798743606285,0.3029725118954181,-0.30907395715142966,0.9938012883978407,1.4082723446413474
c_voice_journalist,-0.025549649723538178,0.08135166032556286,-0.3140642688949496,0.7534722267586189,-0.1849989039616414,0.13389960451456503,0.9747739805056216
c_voice_layperson,-0.05068438301467012,0.11453531151835239,-0.44252189427667277,0.658111590496681,-0.2751735935906408,0.17380482756130056,0.9505786419571919
c_voice_official,-0.07663531765737942,0.08403686997267291,-0.9119249405921434,0.3618082313914217,-0.24134758280381835,0.08807694748905949,0.9262275708633345
c_voice_unclear,-0.11498862410969929,0.29102758838522,-0.39511245221705255,0.6927598994488369,-0.6854026973447305,0.45542544912533195,0.8913762840479786
c_hedged,0.018797133588648117,0.04405596550432101,0.4266648880230418,0.6696234282878075,-0.06755255879982106,0.1051468259771173,1.018974911864518
c_quoted,-0.013326671507306488,0.09587209833169147,-0.13900469207631003,0.8894464413061696,-0.20123598423742176,0.17458264122280878,0.9867617354203109
c_named,-0.0007614207414291617,0.07580052591124735,-0.010045058820840997,0.9919853374389132,-0.14933045152747396,0.14780761004461565,0.9992388690657839
c_has_number,-0.003195606621734557,0.05404912542846591,-0.059124113413526865,0.952853252507788,-0.10913189246152774,0.10274067921805863,0.9968094938945781
c_len,-0.017146411166310917,0.020299074847750044,-0.8446892922418792,0.39828433949346187,-0.056932597867901,0.02263977553527917,0.9829997519583237
c_horizon,0.04563651246802315,0.022080134417543456,2.0668584531697105,0.0387474936108585,0.0023594490096379775,0.08891357592640833,1.0466938816265257
x_against_consensus,-0.2790999739996059,0.4564530955599458,-0.6114537872883191,0.5408992034083304,-1.1737480412970995,0.6155480932978878,0.7564642726756683
