phrase,coef,leans
more money,1.8363944633919767,HIT
gains,1.821089921282027,HIT
demand,1.6018525205664436,HIT
improvement,1.563201667906931,HIT
business,1.4861306462966855,HIT
better,1.3486796432212367,HIT
us,1.2847452726849296,HIT
since,1.2278220686803596,HIT
improve,1.1638502784156972,HIT
one,1.0725367337017184,HIT
the national,1.0149722131776153,HIT
dollars,1.0054636450536756,HIT
resulting,0.95885406006039,HIT
prosperity,0.9359332410479505,HIT
economy,0.8939233846525816,HIT
look,0.8797948824269671,HIT
steadily,0.865787761441433,HIT
volume,0.8632983727857216,HIT
says the,0.7866867610136379,HIT
home,0.770002902204816,HIT
lower,-2.6602649261964495,MISS
nothing,-1.9926139378687007,MISS
decline,-1.9664147789722977,MISS
below,-1.8306892393587106,MISS
bonds,-1.7412677699208217,MISS
condition,-1.4834941943811968,MISS
worse,-1.4090381130451337,MISS
around,-1.2238078343123933,MISS
same as,-1.1771568089742686,MISS
about the,-1.1347535397874968,MISS
debt,-1.0805294312443856,MISS
rates,-1.0446577861844282,MISS
the present,-1.025649882942832,MISS
the dollar,-0.9687990480573087,MISS
the price,-0.9675802983115296,MISS
it was,-0.9005431079046354,MISS
less,-0.8190350049413486,MISS
no,-0.8062994014512261,MISS
soon,-0.7907442106364929,MISS
hoover,-0.7892993520821072,MISS
