feature,level,n,too_pess,correct,too_optim,net_bias
confidence,assertive,7651,0.14128872042870214,0.5348320480982878,0.32387923147301007,0.18259051104430793
confidence,hedged,4325,0.17549132947976878,0.5248554913294797,0.29965317919075146,0.12416184971098265
voice,expert,5746,0.13400626522798467,0.5436825617821093,0.322311172989906,0.18830490776192133
voice,journalist,4429,0.16550011289230074,0.5161435990065477,0.3183562881011515,0.15285617520885075
voice,unclear,57,0.15789473684210525,0.5614035087719298,0.2807017543859649,0.12280701754385964
voice,official,1440,0.18472222222222223,0.5263888888888889,0.28888888888888886,0.10416666666666667
voice,layperson,297,0.2053872053872054,0.531986531986532,0.26262626262626265,0.05723905723905724
topic,general_business,8713,0.12923218179731435,0.5613451164925972,0.3094227017100884,0.18019051991277402
topic,markets,2219,0.19242902208201892,0.44930148715637674,0.3582694907616043,0.1658404686795854
topic,other,870,0.26091954022988506,0.4793103448275862,0.2597701149425287,-0.0011494252873563218
topic,employment,174,0.3448275862068966,0.3275862068965517,0.3275862068965517,-0.017241379310344827
predicted_norm,down,86,0.0,0.38372093023255816,0.6162790697674418,0.6162790697674418
predicted_norm,improve,8962,0.0,0.5969649631778621,0.4030350368221379,0.4030350368221379
predicted_norm,flat,268,0.5261194029850746,0.06716417910447761,0.40671641791044777,-0.11940298507462686
predicted_norm,worsen,2577,0.6363989134652697,0.36360108653473033,0.0,-0.6363989134652697
predicted_norm,up,83,0.7108433734939759,0.2891566265060241,0.0,-0.7108433734939759
