feature,level,n,median_months,mean_months
confidence,assertive,4980,1.0,2.83574297188755
confidence,hedged,2757,1.0,2.8164671744649983
voice,journalist,2788,1.0,2.5706599713055955
voice,unclear,32,1.0,2.59375
voice,expert,3768,2.0,2.9721337579617835
voice,layperson,187,2.0,2.8449197860962565
voice,official,957,2.0,3.0303030303030303
topic,markets,1276,1.0,1.9898119122257054
topic,general_business,5908,2.0,2.993060257278267
topic,other,553,2.0,3.0108499095840866
predicted_norm,flat,94,1.0,1.5212765957446808
predicted_norm,improve,6327,1.0,2.837679785048206
predicted_norm,worsen,1316,1.0,2.8799392097264436
