h,n_at_risk,n_events,surv,cum_realized
1,11782,4059,0.6554914276014259,0.34450857239857413
2,7723,1008,0.5699371923272789,0.4300628076727211
3,6715,510,0.5266508232897641,0.4733491767102359
4,6205,615,0.47445255474452563,0.5255474452554744
5,5590,357,0.4441520964182652,0.5558479035817347
6,5233,372,0.4125785095909014,0.5874214904090986
7,4129,176,0.3949922132266489,0.6050077867733511
8,3953,160,0.37900467107732844,0.6209953289226715
9,3793,122,0.36681417018847157,0.6331858298115285
10,3671,152,0.3516260051466171,0.6483739948533829
11,3519,53,0.3463301318096547,0.6536698681903452
12,3466,118,0.33453931947453086,0.6654606805254691
13,103,1,0.3312913649165257,0.6687086350834743
14,102,3,0.32154750124251025,0.6784524987574898
15,99,5,0.3053077284524845,0.6946922715475154
16,94,1,0.30205977389447936,0.6979402261055206
17,93,1,0.2988118193364742,0.7011881806635258
18,92,3,0.28906795566245874,0.7109320443375413
19,89,1,0.2858200011044536,0.7141799988955464
20,88,3,0.27607613743043813,0.7239238625695619
21,84,3,0.26621627537935105,0.7337837246206489
22,81,8,0.23992330990978553,0.7600766900902145
23,73,3,0.23006344785869845,0.7699365521413015
24,70,3,0.22020358580761137,0.7797964141923887
